# Fermi-LAT bounds on gamma-lines from the galactic center, 5.2 years data and pass8  (arXiv:1506.00013)
# Einasto and ROI = R16 
# J factor = 8.48 x 10^22 GeV^2/cm^5
#  DM mass [GeV]                    sigmav_gammagamma [cm^3 s^-1]
0.21272543588389697     2.8124587529762998e-30
0.2325568303943998     2.8124587529762998e-30
0.2504687072641126     2.951031806141451e-30
0.2778521073038634     3.4090790807464146e-30
0.3037078326745414     3.753293551347344e-30
0.32706180739140234     4.232840011640594e-30
0.3522389372099971     4.549497665079703e-30
0.3794424898417928     4.232840011640594e-30
0.41476786773353813     4.549497665079703e-30
0.45341714340910844     4.6602295644304394e-30
0.48835895535600854     4.7736566082644364e-30
0.5259526961695228     5.130772609752815e-30
0.5749624973810866     5.255652374078294e-30
0.6192709928847151     5.383571632983706e-30
0.6669164389463108     5.927150475157098e-30
0.7077192836147506     6.0714135736721826e-30
0.7622584524104682     6.2191879448773576e-30
0.8210642790292675     6.0714135736721826e-30
0.8711967168748398     6.684443767328904e-30
0.9520080334364417     8.708588720858331e-30
1.009783059466615     1.1904687940686793e-29
1.071272046259768     1.443008633583024e-29
1.1367257272159523     1.5509597317927747e-29
1.2243730281113754     1.5509597317927747e-29
1.2994330108153493     1.4781305522077046e-29
1.3998430314432535     1.342571231161625e-29
1.485833055783708     1.1904687940686793e-29
1.577044134142122     1.0812909266540163e-29
1.6734649054337707     1.1345673648978326e-29
1.803056904040598     9.360075963827495e-30
1.9135187835710454     9.137670827940564e-30
2.030117929210287     1.0812909266540163e-29
2.153989062146951     1.2194440525234282e-29
2.3198925395655756     1.2795274529798544e-29
2.499349568478136     1.1076088647811522e-29
2.6136607795887077     1.0060300796933964e-29
2.81573325551741     8.920550269300586e-30
2.9881195006438435     8.920550269300586e-30
3.170075851355951     1.0812909266540163e-29
3.3625903797602845     1.443008633583024e-29
3.5673494847120737     1.7491209571974723e-29
3.842112107736423     1.8353021433704265e-29
4.077810307351264     1.7075600248213305e-29
4.326960554283514     1.8353021433704265e-29
4.525211107199415     1.5887091119575527e-29
4.874884031342236     1.443008633583024e-29
5.0234521991224765     1.1904687940686793e-29
5.1767489532352435     9.587894300233494e-30
5.494321781388468     8.920550269300586e-30
5.83001950280781     9.587894300233494e-30
6.187907869627878     8.708588720858331e-30
6.372536112211992     1.0555983300976252e-29
6.562418555899586     1.3106703429361104e-29
6.858568348184037     1.7075600248213305e-29
7.168638909144187     2.1201703522111336e-29
7.383101879227862     2.4492546574048492e-29
7.837545451973907     2.0206124693293903e-29
8.19696018765933     1.7075600248213305e-29
8.566541539585497     2.2787797413626347e-29
8.827275182474898     1.9257295749614666e-29
8.96112433471074     1.7075600248213305e-29
9.233867609389012     1.443008633583024e-29
9.374245567879962     1.2491245504659337e-29
9.660686774662036     9.821257591039878e-30
10.249355061529705     1.1621820178782628e-29
10.555164464723802     1.408721248258544e-29
10.55148048755014     1.7491209571974723e-29
10.867147362785426     2.0206124693293903e-29
11.1918238863601     2.39105782043396e-29
11.6982513030246     2.898284352746637e-29
11.703697439032112     2.1717739593191166e-29
12.060382208062922     1.7916934564145394e-29
12.24420518682558     1.5141073161459687e-29
12.98979481022744     1.8353021433704265e-29
13.378927244059973     2.0697929004565498e-29
14.20297583378574     1.6669866234063078e-29
15.06784139602689     2.0206124693293903e-29
15.986611540114504     2.3342438008125134e-29
16.708057703081526     3.0410861311819174e-29
17.20657503651739     3.686206278257082e-29
17.720653918397176     4.3620102731942916e-29
18.263546263270264     3.268588988733352e-29
18.819420641197112     2.7621881877154584e-29
19.10700520510518     2.2787797413626347e-29
19.982440582654206     1.9726006163751257e-29
20.269706909709534     2.829418103391114e-29
20.869635583081116     3.961970405168409e-29
21.50649789759891     3.1909239162481124e-29
21.8351444025571     2.632482757298928e-29
22.166233612626343     2.3342438008125134e-29
23.51692006705906     2.7621881877154584e-29
24.593452834622532     2.4492546574048492e-29
24.954748928141182     2.898284352746637e-29
25.69932230185679     3.5131112755154723e-29
27.26000827444545     4.6883311200934005e-29
28.489096922058476     6.256690143813127e-29
29.335710705075964     8.151305196496463e-29
30.228580562011864     6.888427699486124e-29
31.149834236934453     5.682889225738452e-29
