# Fermi-LAT bounds on gamma-lines from the galactic center, 5.2 years data and pass8  (arXiv:1506.00013)
# NFW contracted and ROI = R3 
# J factor = 13.9 x 10^22 GeV^2/cm^5
#  DM mass [GeV]                    sigmav_gammagamma [cm^3 s^-1]
0.21426637149900749     7.718590381296895e-31
0.23078739208023366     7.718590381296895e-31
0.2523595857652101     8.878268346453242e-31
0.26388448945529647     9.389541307953047e-31
0.28007809575894926     1.0212181880079093e-30
0.3017144003295517     1.110689599538616e-30
0.3299013975296822     1.2422955341648923e-30
0.3661038322307265     1.351136070188684e-30
0.3943500944787394     1.3894954943731474e-30
0.4311719062831012     1.511232577258083e-30
0.47848747662934155     1.643635342334395e-30
0.5309233987091551     1.643635342334395e-30
0.5718860989960342     1.6902989661486825e-30
0.6159535958302312     1.643635342334395e-30
0.663386821632892     1.5541372208032327e-30
0.7145050368045429     1.511232577258083e-30
0.7584200314083798     1.7382873934223485e-30
0.829123973252628     1.7382873934223485e-30
0.8798055648041317     1.643635342334395e-30
0.920068118987474     1.838390173479422e-30
0.9480282020815625     2.114598712892266e-30
1.0211259697274992     2.114598712892266e-30
1.0680004325145749     2.5723753928641583e-30
1.1504006087541567     2.645406408047404e-30
1.238990418454033     2.5013605250533804e-30
1.3343420825942929     2.299863853961239e-30
1.416033848276248     2.299863853961239e-30
1.502930560921106     2.5013605250533804e-30
1.5711415543964689     2.236372138084579e-30
1.692131694923503     2.114598712892266e-30
1.7954039352776374     1.8905829836907722e-30
1.8491295961863403     1.643635342334395e-30
1.9330529457410008     1.4695123905376562e-30
2.05176983267515     1.643635342334395e-30
2.114121362771283     1.8905829836907722e-30
2.210969757826684     2.1746332207390227e-30
2.34686064729954     2.5013605250533804e-30
2.4530413727013967     2.056221561374857e-30
2.5642576681778158     1.7876382359836618e-30
2.60193005215525     1.511232577258083e-30
2.803184806373958     1.7382873934223485e-30
2.888371194747633     1.999456012001396e-30
3.0206881560449124     2.299863853961239e-30
3.2051880512678617     2.114598712892266e-30
3.253892319321232     2.4323061453829308e-30
3.4032612110710727     2.9588613849752893e-30
3.6673253967537405     3.914760225458855e-30
3.834980094054082     4.2577418990024116e-30
4.0695834258287915     4.140199576459275e-30
4.253898625101819     3.5000395216163345e-30
4.381192272275916     3.0428649294543287e-30
4.5818957169650245     3.5000395216163345e-30
4.934960208926695     3.4034148825183314e-30
5.158469123509897     2.8771769035005705e-30
5.312111510520746     2.299863853961239e-30
5.38942345463681     1.7876382359836618e-30
5.548942399768361     1.2775649214671311e-30
5.889992165677135     1.4695123905376562e-30
6.253697588907655     1.999456012001396e-30
6.543430155584673     3.1292533762883073e-30
6.738627168030945     2.5723753928641583e-30
7.043825828272019     2.1746332207390227e-30
7.258537131879206     2.645406408047404e-30
7.593109257231941     3.599407382214829e-30
7.94346168139309     5.036486330526321e-30
8.302103736995718     3.914760225458855e-30
8.807595055017076     3.218094434039816e-30
9.207330627938827     2.8771769035005705e-30
9.918605849974657     3.1292533762883073e-30
10.22325457192841     4.3786213064694835e-30
10.227409925895454     5.6332610649226124e-30
11.019974915469534     7.04732525774003e-30
11.873422963303087     8.572958059605191e-30
12.05384494337599     9.861000314318441e-30
12.978568299991064     7.882364883163228e-30
13.365128375441756     6.300747811670635e-30
13.763201946717112     5.036486330526321e-30
14.828431162555082     5.957663747424845e-30
15.975384466160275     6.852771666150611e-30
16.46309266511476     8.572958059605191e-30
16.964923938872968     1.0428865875181576e-29
17.994619218538066     7.664758579757125e-30
19.107507539033964     1.1029433117916204e-29
19.694392212095515     1.5432981942060096e-29
19.703286859314563     2.0418808455775695e-29
20.903907418924906     1.726164047401986e-29
21.52749171334046     1.4189780710088998e-29
22.165674383838855     1.0428865875181576e-29
23.519526350709555     9.588770360733147e-30
24.954943100831773     8.572958059605191e-30
26.485138912779142     9.066649113412883e-30
27.293696567561867     1.1342564202800467e-29
27.7096876633932     1.341712835479928e-29
28.962069484028465     1.0724946557723861e-29
29.828730347213355     9.324055785432695e-30
30.714390126185194     7.04732525774003e-30
33.08262489799989     7.04732525774003e-30
33.59443033532507     9.588770360733147e-30
34.106452730475034     1.1342564202800467e-29
34.62940611914213     1.4189780710088998e-29
35.16355328636939     1.8773974818122016e-29
36.23705191035946     2.3486627976071645e-29
36.797657976460314     3.195650462750778e-29
39.64747293572778     3.8874574946333437e-29
41.454372926979566     3.8874574946333437e-29
42.088091339689726     4.729029644741698e-29
44.024107258142074     6.084074576905612e-29
46.03670433578754     6.617115161812978e-29
49.57293493770771     5.593972985533948e-29
50.296685519307346     4.471527716565591e-29
51.79006961113843     3.3796784299457e-29
54.96078744018234     3.3796784299457e-29
55.80853945818548     4.471527716565591e-29
57.52009440414868     6.084074576905612e-29
57.533081938594364     6.998175063738212e-29
61.966375404970734     6.804978348186247e-29
63.8148938522641     5.593972985533948e-29
