# Fermi 95% CL exclusion limit in the {mass_DM,sigmav}-plane from ref. arXiv:1503.02641 for the bbbar annihilation channel
# DM mass [ GeV]          sigmav [cm^3 s^-1]
5.907472291951673      5.247801068159876e-27
7.225866509321846      5.25055482401721e-27
8.83849203688592      5.253310024893368e-27
9.935227099888019      5.25491048236457e-27
11.023843007815419      5.448888410261748e-27
12.073796124965769      5.7523897887296536e-27
13.484078139938042      6.183341714360173e-27
14.672694584795305      6.411265929931626e-27
16.17494816044069      6.768485975762495e-27
17.94725851634139      7.145730373046844e-27
20.571423555642646      7.681587187636535e-27
22.97427253227154      8.109860903403863e-27
25.16243042262055      8.561577616620134e-27
28.284741287377727      9.37019413611112e-27
31.588545784560733      1.0072181197975565e-26
35.04974431617291      1.0826575823991595e-26
39.9143333917581      1.1849515993604657e-26
45.159664369422416      1.2737677578609497e-26
49.46084412502341      1.3691251378448553e-26
54.524858066828735      1.4454094395466293e-26
60.107347535213776      1.5536426287789404e-26
67.12819750810009      1.670036911364893e-26
75.94983083986737      1.8277980524975362e-26
83.18358422158968      1.964631499843168e-26
93.50552071270957      2.1118515838316398e-26
103.75104366890231      2.353184534205738e-26
115.11918205834193      2.5753489175237716e-26
130.24753722457615      2.7683800909289055e-26
143.5828402518323      3.02969185626241e-26
160.35406076690208      3.3157814742546225e-26
181.4269448879877      3.694881724580946e-26
202.61855312442566      4.0437843032134227e-26
219.05119441529652      4.268877337603171e-26
246.23242900883798      4.6720605930076036e-26
274.9936539409087      5.300549661315857e-26
305.12507049026243      5.906272761444405e-26
368.40178937152365      6.947669237753333e-26
433.3878820716335      8.172131974604699e-26
490.3414295820642      9.271767053586866e-26
544.0687853024903      1.033130310969735e-25
599.7728874627488      1.1511723393488952e-25
678.5918739980757      1.3060731033399515e-25
767.7688356408423      1.4818171814594536e-25
857.4482181112451      1.681152331601223e-25
951.3999477572065      1.8398700885747207e-25
1048.808366171924      2.0500875170089418e-25
1178.951031317772      2.36812537782861e-25
1325.2426077781677      2.7355016596061915e-25
1480.0378184874078      3.159816945494525e-25
1621.002300648444      3.520787523455449e-25
1729.8388412955107      3.784106157439368e-25
1834.0258653664807      4.0670494859314487e-25
1995.6945594547653      4.531583637600892e-25
2171.614288461246      4.959159119423549e-25
2347.735172132249      5.426986447782745e-25
2571.34248044353      6.156716129225124e-25
2779.8818662280073      6.859813737746487e-25
3044.6484842473833      7.64346385809588e-25
3400.279219999835      8.98933690964923e-25
3700.0125615048405      1.001608959850626e-24
4052.41595836865      1.1362884535685804e-24
4381.072425303238      1.2434813825867933e-24
4705.704451657461      1.3854636368912893e-24
5120.5105390911685      1.5437098489077527e-24
5571.881627990576      1.7512522982949494e-24
5945.986168769379      1.91639360556097e-24
6470.122625688902      2.1740411312080517e-24
7132.561606690876      2.4664112836536073e-24
7661.075564621194      2.7480291984845454e-24
8122.496967127637      3.0071146625007045e-24
8724.363905977012      3.2907381990957015e-24
9310.130864168772      3.666416742087156e-24
9806.937240675203      3.8702420145576755e-24
