# Fermi 95% CL exclusion limit in the {mass_DM,sigmav}-plane from ref. arXiv:1503.02641 for the e+e- annihilation channel
# DM mass [ GeV]          sigmav [cm^3 s^-1]
2.046723617804547      9.434724909899135e-27
2.3433412608015183      9.050627698312629e-27
2.7646272374651715      8.328707637670153e-27
3.212933062374247      7.664371270814423e-27
4.02574731000481      7.053025455137473e-27
4.539831262418063      6.490443418398128e-27
5.04418893558735      6.490443418398128e-27
5.607015323599842      7.664371270814423e-27
6.232641409856845      9.050627698312629e-27
7.14054935016017      1.1141185568691835e-26
8.058517651064637      1.3714630632654116e-26
9.09449729257367      1.6882502515593702e-26
9.957170806933593      1.9124427696907968e-26
11.578092292800159      2.1664071093514577e-26
13.872756441767054      2.3541880736736677e-26
16.377475193253332      2.779990560708323e-26
19.62332988383327      3.0209560311607934e-26
23.515036119880147      3.42212626002034e-26
27.760663307135694      4.0410869491675787e-26
33.77426626870386      4.771999187030464e-26
40.47678960097012      5.635111673533824e-26
47.77966022491829      6.383430754117073e-26
55.563717935412896      7.53800320366442e-26
66.5903709773075      8.901403412547052e-26
82.25279361187557      1.095749273384241e-25
103.1508992849009      1.4060942764460853e-25
123.63469047818653      1.7308807502801104e-25
145.97272838994695      2.1306879786627974e-25
172.34675276972288      2.622844619239907e-25
203.48597657857874      3.22868198702336e-25
251.37431405683947      4.1431296124858675e-25
301.32517455343657      5.316572847635254e-25
350.4538607574509      6.5446206229447995e-25
407.59259063507966      8.056328827945224e-25
481.28779800085675      1.0338092964602005e-24
568.3693012363291      1.3829109767771739e-24
661.1092529748856      1.774587724138053e-24
780.7266373986421      2.3738390159262744e-24
935.9673656091765      3.1754483573196652e-24
1122.1983005196116      4.428018088232877e-24
1285.8084687077746      5.6821492298454586e-24
1541.6478516197524      7.923498271290366e-24
1848.392008797657      1.104895741304711e-23
2216.169545202811      1.540726781725525e-23
2657.1243706464625      2.148473314887736e-23
3091.019155902622      2.8739800857318466e-23
3650.2907512842253      3.844479461740439e-23
4120.009197076296      4.9333371222526127e-23
4649.665622217601      6.072863251482463e-23
5408.932177051158      8.12357683346208e-23
6104.9521351066605      1.0424387373328943e-22
7101.087860847719      1.3376847949736084e-22
8386.829973785123      1.8653405132045398e-22
9756.356304827737      2.4952376419619802e-22
10363.962317347947      2.711521150540808e-22
