# Fermi 95% CL exclusion limit in the {mass_DM,sigmav}-plane from ref. arXiv:1503.02641 for the mu+mu- annihilation channel
# DM mass [ GeV]          sigmav [cm^3 s^-1]
2.0285678698408103      2.454430196978487e-26
2.5808615404180753      2.1714152324071732e-26
3.4872546346267996      1.8438283487992915e-26
4.17748628435787      1.6995238724240702e-26
4.855953393399652      1.6325504642383454e-26
5.817091329374358      1.9309749738325034e-26
7.2902949285889465      2.5883038973465255e-26
8.865687483454893      3.327249499793153e-26
10      3.773191979207497e-26
11.800364566698388      4.1063774020892235e-26
15.01310728908172      4.85964837443011e-26
18.815241799500143      5.516216481393686e-26
23.228067098160952      6.005763501950906e-26
28.675852634059723      7.105526020249679e-26
34.872546346267995      8.405532918121057e-26
43.05136522010359      9.944736059682193e-26
51.57251378894823      1.1283731672074895e-25
63.66805292623686      1.3916540870989193e-25
77.42636826811265      1.6462671738040502e-25
92.75135468342333      1.9471990498870447e-25
111.10961275905771      2.4008825822213757e-25
133.10151738057723      2.960271151502671e-25
164.31842915062705      3.805928137097155e-25
196.84194472866113      4.692682329560952e-25
239.37840412412297      5.786829894721044e-25
295.5209235202882      7.755688339586089e-25
348.7254634626791      9.561409791985694e-25
443.66873309786064      1.3361957414477753e-24
515.7251378894815      1.647072354771739e-24
627.1704978573194      2.3008264591535432e-24
751.3062357814431      3.0828011905793454e-24
927.5135468342338      4.3070081338733765e-24
1094.499799319541      5.770033813696365e-24
1331.0151738057723      8.060269137722894e-24
1547.1858457345145      1.0796754367209101e-23
1853.4200473147434      1.4466213688219899e-23
2154.4346900318824      1.937753605326794e-23
2580.861540418066      2.706516942679119e-23
3045.5107073104014      3.6258799127357e-23
3648.308065125212      5.064372162158425e-23
4370.416989869111      7.073556216453363e-23
5080.218046913013      9.089310622591956e-23
5905.298158964358      1.217515848200507e-22
6761.847306683144      1.564259389213332e-22
7979.226336320866      2.184549944415386e-22
9136.59372639176      2.8067008464882333e-22
9999.99999999996      3.1820110418906885e-22
