# Fermi 95% CL exclusion limit in the {mass_DM,sigmav}-plane from ref. arXiv:1503.02641 for the tau+tau- annihilation channel
# DM mass [ GeV]          sigmav [cm^3 s^-1]
1.9948317839868628      3.096770996935361e-27
2.184082195072685      3.096042046832299e-27
2.3452914132717675      3.0954694206989196e-27
2.5347566430228157      3.0398116518194155e-27
2.7752299202912636      3.039096109398269e-27
3.0582521491184993      3.038329643710894e-27
3.370137421481215      2.9835487566172455e-27
3.737950552510245      2.9297063002587158e-27
4.119152516672701      2.8768838850266393e-27
4.56871234016429      2.9281794924125305e-27
4.96986843740477      2.875481309560382e-27
5.406248073001671      2.9798885865507567e-27
5.957585592111905      3.1438882926230686e-27
6.565149362010859      3.376963712792275e-27
7.187987450702832      3.562876564664234e-27
7.768671661666279      3.6923049046105194e-27
8.450800404406227      3.826370634624785e-27
9.192823507718522      4.0370926868320484e-27
10      		4.1836774874316845e-27
10.94870360801845      4.4140025602343775e-27
11.910055271729787      4.741398675335506e-27
13.209905744384514      5.092821545591405e-27
14.651620483217018      5.3730172562517035e-27
15.938107014580618      5.6689146825326334e-27
17.56349975684399      6.0891855536813145e-27
18.98237354703995      6.424631116307846e-27
21.054089140652362      6.778100026468746e-27
23.35190951985342      7.151016009650415e-27
26.40846784614777      7.961267962225984e-27
29.672380527453047      8.705862993855235e-27
32.48740997394216      9.52073827276648e-27
34.66021901987933      1.0045561590699849e-26
38.94399379450353      1.1183970556166031e-26
43.19429890106377      1.2230387224914775e-26
47.29215762239048      1.3375160604432616e-26
52.45357224522938      1.4626593709820408e-26
57.42986156947997      1.599565380612837e-26
62.069354067196066      1.7182374968403097e-26
67.0836496734017      1.8791290061681595e-26
72.97393408790738      2.0550514413136685e-26
79.89699754395724      2.247405791204013e-26
87.47685452793655      2.4577646519196853e-26
94.54370440733527      2.6401067655759623e-26
102.84512079227251      2.9395428743845596e-26
111.87544360654927      3.214740340326919e-26
120.91334248191559      3.5157606744795056e-26
131.53014672847127      3.914511857422139e-26
144.00845920492088      4.3584153845901764e-26
156.65313174348208      4.766446469904639e-26
167.130339437159      5.212940042301633e-26
181.80523023947148      5.804182223137706e-26
200.3460081038955      6.34735127927536e-26
217.93740294881115      7.195202989553526e-26
235.5435562342316      7.868944000931951e-26
256.2254741826202      8.605627744370256e-26
275.13772412854985      9.581984643200953e-26
295.4459055257074      1.0669114726999904e-25
317.2530534239733      1.1668340449361263e-25
340.66980798986503      1.2992179341078714e-25
368.1909437748642      1.4465971949713958e-25
395.36747326987836      1.6107217879812944e-25
424.5499286788257      1.761575413919528e-25
455.88636933256765      1.961436058521084e-25
492.71531741858394      2.1839352935969914e-25
532.5195056266251      2.4756975471969723e-25
568.1352472290366      2.70760680055835e-25
594.4742989614977      3.0150028193399683e-25
638.3530216539103      3.3570718571951763e-25
672.2857244774254      3.671666719029369e-25
712.6207791977799      4.015675081705766e-25
755.3758118829493      4.471426396073673e-25
821.7016363348166      5.068700180127822e-25
871.0011815410361      5.64396255126788e-25
929.2551096871174      6.284407541171926e-25
1004.3253256346495      7.12397129204347e-25
1078.455548814145      8.222038214845011e-25
1143.1595310513133      9.15518261695803e-25
1219.6158374176828      1.037861583808525e-24
1284.4465194480154      1.1765935632817267e-24
1370.3523216870262      1.3101067547517607e-24
1462.003639014903      1.512067987951113e-24
1549.719315004991      1.6836772339435894e-24
1653.3669787925094      1.9432267166430754e-24
1798.5409786278394      2.242674253431026e-24
1918.8302264006156      2.5883966582996192e-24
2033.9540783031678      2.9343408443176836e-24
2155.9850036375083      3.267368210673518e-24
2315.1203409748387      3.7709902509196555e-24
2454.0203685040756      4.198971531366037e-24
2618.1491082182147      4.934007112209248e-24
2775.2299202912623      5.593446641605746e-24
2980.07232355895      6.57247643407553e-24
3220.818562709746      7.862551091945593e-24
3572.335195970958      9.925338685667232e-24
3786.6642087146683      1.1455584980739768e-23
4066.161554577621      1.3460674097509098e-23
4338.112830937128      1.5816983096009247e-23
4628.252636139106      1.8255270968335056e-23
4874.275003022177      2.0695471007306755e-23
5166.716359146145      2.346146046604235e-23
5476.703288041149      2.7568884072824474e-23
5767.826442192081      3.125404394284793e-23
6153.587741078098      3.6725106123580736e-23
6607.790001000665      4.393441068064387e-23
7187.987450702824      5.350866960429274e-23
7668.731350185655      6.287543376283499e-23
8288.252633954402      7.521690117068679e-23
8957.822172579992      9.160983225265352e-23
9556.935400260783      1.095950998572773e-22
9999.999999999989      1.1564227841976167e-22
