# Fermi 95% CL exclusion limit in the {mass_DM,sigmav}-plane from ref. arXiv:1503.02641 for the uubar annihilation channel
# DM mass [ GeV]          sigmav [cm^3 s^-1]
2.044039017589848      1.8650743226401206e-27
2.3394858023064127      1.862803221164628e-27
2.8436787118290283      2.106461965298504e-27
3.508582579519004      2.284710293111729e-27
4.264270823747698      2.3774813638340294e-27
5.341141142238578      2.6877332945861367e-27
6.49223404052474      3.0392947003669498e-27
7.890976717604884      3.296925435727527e-27
9.883710988554176      3.727161187536181e-27
12.380347405387788      4.3923562194763154e-27
14.60372955679802      4.968231080658663e-27
17.751043760570628      5.618086595146889e-27
20.93894734468007      6.3546650228583725e-27
29.13511556460361      8.13019812171443e-27
37.60613508894921      9.578619379530809e-27
51.54731168226739      1.2256604679707089e-26
68.5647123757929      1.5048898175706187e-26
98.31929555624698      2.0916847836670447e-26
125.01615384395025      2.4646588849891216e-26
161.38201250153983      3.155435202138973e-26
199.13763250268875      3.719096448529902e-26
245.73955673323178      4.569471210452032e-26
303.2472013677777      5.614284929718166e-26
391.47975987864925      7.492853214709476e-26
497.80609187638845      9.203608517591324e-26
614.3352794192973      1.178791432815813e-25
769.600403844187      1.5095830418534714e-25
907.8618265214005      1.7799654438645594e-25
1103.6984263367185      2.280075354947118e-25
1321.7307426288419      2.8021752722690647e-25
1559.268761758339      3.4442937860932677e-25
1895.6215894469215      4.412023505253132e-25
2236.297782300507      5.423038770496171e-25
2718.6938265733734      6.946728708780432e-25
3255.9399580797585      8.899728619973624e-25
3958.2849537233483      1.140025047231391e-24
4531.3995922391      1.3445796918481195e-24
5346.060465136899      1.722827393557616e-24
6212.941607045313      2.1179000287797143e-24
7220.390353659481      2.603569312096076e-24
8391.200200578172      3.2006105438291854e-24
9322.238844610745      3.775918202318466e-24
10048.85665142177      3.933497944540433e-24
