# Fermi 95% CL exclusion limit in the {mass_DM,sigmav}-plane from ref. arXiv:1503.02641 for the W+W- annihilation channel
# DM mass [ GeV]          sigmav [cm^3 s^-1]
80.91964181251711      2.4540968429645167e-26
92.63101640006734      2.779990560708323e-26
114.30249639875969      3.2828080322263694e-26
152.0378817954      4.041086949167612e-26
208.40145159362658      5.185629019215439e-26
281.4223139379311      6.936737091378344e-26
347.2624427059359      8.191386173346308e-26
441.60446439503124      1.0511402101074476e-25
520.94127364815      1.2412601587602516e-25
633.3159604249593      1.5928176702530541e-25
855.2670516194606      2.221111686127605e-25
1104.1181716031845      2.971147330471067e-25
1425.4529667426712      4.1431296124858675e-25
1785.8188066527894      5.542201486227244e-25
2075.398818523205      6.822366058505396e-25
2600.0761357233846      9.126175342206698e-25
3257.5724535839345      1.272603580484169e-24
3901.5269394790203      1.7023424596426317e-24
4815.090477150952      2.2771976241019223e-24
5854.410280661134      3.1754483573196913e-24
6907.311198314869      4.2477489848104385e-24
8272.743309190779      5.682149229845505e-24
10057.840243959146      7.600924627535207e-24
