# 90% CL exclusion on the spin-dependent DM-neutron interaction from LZ (arXiv:2410.17036 [hep-ex]) for a total exposure of 4.2 tonne-years 
# DM mass [GeV]          sigma_SD_n [cm^2]
       9.000000        1.15735606948e-41
      11.000000        3.59808404068e-42
      13.000000        1.65218130634e-42
      16.000000        8.66240191463e-43
      17.000000        7.56689503105e-43
      19.000000        6.19780799600e-43
      21.000000        5.26151472197e-43
      23.000000        4.77400673738e-43
      26.000000        4.04404051123e-43
      29.000000        3.97167137943e-43
      32.000000        3.87937993720e-43
      36.000000        3.72804441517e-43
      40.000000        3.75221410547e-43
      43.000000        3.78356275997e-43
      46.000000        3.68353099968e-43
      65.000000        4.54305004368e-43
      91.000000        5.62253969722e-43
     129.000000        7.48693597728e-43
     182.000000        1.00319398736e-42
     256.000000        1.38631263550e-42
     361.000000        1.93818403659e-42
     508.000000        2.64220313792e-42
    1008.000000        5.07422668666e-42
    2000.000000        1.02293926976e-41
    5000.000000        2.50890690922e-41
   10000.000000        5.28268516262e-41
