# 90% CL exclusion on the spin-independent DM-nucleon interaction from LZ (arXiv:2410.17036 [hep-ex]) for a total exposure of 4.2 tonne-years 
# DM mass [GeV]          sigma_SD_n [cm^2]
       9.000000        1.01992148181e-46
      11.000000        2.75749368533e-47
      13.000000        1.22912216011e-47
      16.000000        6.00362024779e-48
      17.000000        5.33482056535e-48
      19.000000        3.89684845438e-48
      21.000000        3.32372709203e-48
      23.000000        2.96849079802e-48
      26.000000        2.61557899454e-48
      29.000000        2.36842432634e-48
      32.000000        2.28730692111e-48
      36.000000        2.10423018873e-48
      40.000000        2.11533291219e-48
      43.000000        2.23527573966e-48
      46.000000        2.19769721319e-48
      65.000000        2.50571863722e-48
      91.000000        3.19591535988e-48
     129.000000        3.88152615660e-48
     182.000000        5.59416821566e-48
     256.000000        7.65692066888e-48
     361.000000        1.06283911621e-47
     508.000000        1.43934181290e-47
    1008.000000        2.94201745193e-47
    2000.000000        5.81933359796e-47
    5000.000000        1.42269812524e-46
   10000.000000        2.88442162698e-46
