#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                  5.0       -33.7665997438        0.95000000011    1.84011247277e-27 
                  6.0       -33.7665997437       0.950000000102    1.93935063923e-27 
                  8.0       -33.7665996917       0.949999997003    2.19803300514e-27 
                 10.0       -33.7665997308       0.949999999332    2.59369631397e-27 
                 15.0       -33.7665996701       0.949999995714    4.05287608165e-27 
                 20.0       -33.7665997588       0.950000001006    5.56411383099e-27 
                 25.0       -33.7665997435       0.950000000093    7.03561877558e-27 
                 30.0       -33.7665996456       0.949999994255    8.40310633395e-27 
                 40.0        -33.766599745        0.95000000018    1.09593705254e-26 
                 50.0       -33.7665997468       0.950000000289     1.3399539961e-26 
                 60.0       -33.7665997985        0.95000000337    1.58134729945e-26 
                 70.0       -33.7665997428       0.950000000052    1.82076997555e-26 
                 80.0       -33.7665997082       0.949999997986    2.05937403874e-26 
                 90.0       -33.7665997549       0.950000000774    2.29462684726e-26 
                100.0       -33.7665997466       0.950000000278    2.52660874008e-26 
                110.0       -33.7665997434       0.950000000088    2.75938490375e-26 
                120.0        -33.766599744       0.950000000122    2.99501748406e-26 
                130.0       -33.7665998194       0.950000004622    3.23223905344e-26 
                140.0       -33.7665997274       0.949999999133    3.47129784741e-26 
                150.0       -33.7665997429       0.950000000059    3.70739841798e-26 
                160.0       -33.7665997324       0.949999999433    3.93772602667e-26 
                180.0       -33.7665996806       0.949999996339    4.40782985491e-26 
                200.0       -33.7665997096       0.949999998073    4.89167895508e-26 
                220.0       -33.7665997426        0.95000000004    5.37982018067e-26 
                240.0       -33.7665997123       0.949999998233    5.86109949594e-26 
                260.0       -33.7665997327       0.949999999448    6.35237069278e-26 
                280.0       -33.7665997449       0.950000000175    6.84950633745e-26 
                300.0       -33.7665997446       0.950000000157    7.32620370786e-26 
                330.0       -33.7665997188        0.94999999862    8.05592373977e-26 
                360.0        -33.766599748       0.950000000359    8.80171917798e-26 
                400.0       -33.7665997477       0.950000000341     9.7974311988e-26 
                450.0       -33.7665997386       0.949999999798    1.11151445788e-25 
                500.0       -33.7665996862       0.949999996678    1.24780304126e-25 
                550.0       -33.7665997411       0.949999999947    1.38784564539e-25 
                600.0        -33.766599729       0.949999999231     1.5306548651e-25 
                650.0       -33.7665997382       0.949999999777    1.67190460727e-25 
                700.0       -33.7665997358       0.949999999631    1.81588782351e-25 
                750.0       -33.7665997373       0.949999999722    1.96260031892e-25 
                800.0       -33.7665997395       0.949999999857    2.11279271667e-25 
                900.0       -33.7665997467       0.950000000282    2.42043679372e-25 
               1000.0       -33.7665997138       0.949999998322    2.73154664157e-25 
               1100.0       -33.7665997039       0.949999997729    3.05171073246e-25 
               1200.0       -33.7665997437       0.950000000106    3.39327517376e-25 
               1300.0       -33.7665997425       0.950000000032    3.74620880468e-25 
               1500.0        -33.766599752         0.9500000006    4.47074376156e-25 
               1700.0        -33.766599749       0.950000000419    5.22615096308e-25 
               2000.0       -33.7665997307       0.949999999327    6.42299279611e-25 
               2500.0       -33.7665997725        0.95000000182     8.5767352096e-25 
               3000.0       -33.7665997411       0.949999999952    1.09166755577e-24 
               4000.0       -33.7665997877        0.95000000273    1.61593341666e-24 
               5000.0       -33.7665997677       0.950000001535    2.19830018231e-24 
               6000.0       -33.7665997112       0.949999998167    2.84039609533e-24 
               7000.0       -33.7665997714       0.950000001756    3.53470918131e-24 
               8000.0       -33.7665997735       0.950000001883    4.27902367811e-24 
               9000.0       -33.7665997728        0.95000000184    5.07238982991e-24 
              10000.0       -33.7665997489       0.950000000415    5.91194020887e-24 
              12000.0       -33.7665997012       0.949999997569    7.72548333723e-24 
              15000.0       -33.7665996884       0.949999996807    1.07532359106e-23 
              20000.0       -33.7665997623       0.950000001214    1.65589472767e-23 
              30000.0        -33.766599739       0.949999999822    3.07197357982e-23 
              50000.0       -33.7665997634        0.95000000128    6.79131961175e-23 
             100000.0       -33.7665997863       0.950000002643    2.04400419267e-22 
