#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                  5.0       -33.7665997412       0.949999999956     6.4460048673e-27 
                  6.0       -33.7665998061       0.950000003825     1.5863127754e-26 
                  8.0       -33.7665998717       0.950000007739    3.01132018953e-26 
                 10.0       -33.7665997319       0.949999999401    3.29594552586e-26 
                 15.0        -33.766599741       0.949999999942     3.7514359521e-26 
                 20.0       -33.7665997978        0.95000000333    4.34142565195e-26 
                 25.0       -33.7665997375       0.949999999733    5.25864173523e-26 
                 30.0       -33.7665997112       0.949999998165    6.06345353923e-26 
                 40.0       -33.7665997405       0.949999999912    7.19543921005e-26 
                 50.0       -33.7665997499       0.950000000475    8.59663622566e-26 
                 60.0       -33.7665997538       0.950000000708    1.00942907082e-25 
                 70.0       -33.7665997288       0.949999999218    1.17964407325e-25 
                 80.0       -33.7665997584       0.950000000982    1.37380928681e-25 
                 90.0       -33.7665996872       0.949999996736    1.57279892782e-25 
                100.0        -33.766599741       0.949999999946     1.7892980348e-25 
                110.0       -33.7665996961       0.949999997267    2.00796744234e-25 
                120.0       -33.7665997737       0.950000001891    2.24082825626e-25 
                130.0       -33.7665997463       0.950000000257    2.49500190424e-25 
                140.0       -33.7665997426       0.950000000042      2.754180503e-25 
                150.0       -33.7665997366       0.949999999682    3.00883491702e-25 
                160.0       -33.7665997365       0.949999999675    3.28180285079e-25 
                180.0       -33.7665997492       0.950000000435    3.86737988524e-25 
                200.0       -33.7665997377       0.949999999746    4.47206493053e-25 
                220.0       -33.7665997252          0.949999999    5.11312896198e-25 
                240.0       -33.7665997378       0.949999999752    5.79643560209e-25 
                260.0       -33.7665997411       0.949999999948    6.49884178859e-25 
                280.0       -33.7665997438       0.950000000113    7.22080109439e-25 
                300.0       -33.7665997435        0.95000000009    7.99028326762e-25 
                330.0       -33.7665997241       0.949999998933      9.184152807e-25 
                360.0       -33.7665997414       0.949999999964    1.04353535021e-24 
                400.0       -33.7665997629       0.950000001251     1.2213818806e-24 
                450.0       -33.7665997883       0.950000002764    1.45670143261e-24 
                500.0       -33.7665997502       0.950000000492    1.70121689415e-24 
                550.0       -33.7665997653       0.950000001395    1.99340154885e-24 
                600.0       -33.7665997361       0.949999999649      2.310354414e-24 
                650.0       -33.7665997685       0.950000001587    2.64218909907e-24 
                700.0       -33.7665997392       0.949999999834    2.99633704786e-24 
                750.0       -33.7665997415       0.949999999975    3.36500619872e-24 
                800.0       -33.7665997436         0.9500000001    3.75085781572e-24 
                900.0       -33.7665997414        0.94999999997    4.57686387959e-24 
               1000.0       -33.7665997834       0.950000002474    5.45926902587e-24 
               1100.0        -33.766599758       0.950000000957    6.40910690674e-24 
               1200.0       -33.7665997409       0.949999999936     7.4111515334e-24 
               1300.0       -33.7665997163       0.949999998468    8.47363943353e-24 
               1500.0       -33.7665997352       0.949999999595    1.07260828315e-23 
               1700.0       -33.7665996993        0.94999999746    1.31601481087e-23 
               2000.0       -33.7665997005       0.949999997529    1.71135630441e-23 
               2500.0       -33.7665996936       0.949999997115    2.44109855808e-23 
               3000.0       -33.7665997896       0.950000002844    3.24738158719e-23 
               4000.0       -33.7665996948       0.949999997189    5.05633966552e-23 
               5000.0        -33.766599741       0.949999999943    7.08757737605e-23 
               6000.0       -33.7665996991       0.949999997445     9.3201261965e-23 
               7000.0       -33.7665997416       0.949999999981    1.17415796936e-22 
               8000.0       -33.7665997018       0.949999997603    1.43354510029e-22 
               9000.0       -33.7665997677       0.950000001533    1.70975230153e-22 
              10000.0       -33.7665997544       0.950000000743    2.00176803476e-22 
              12000.0       -33.7665997432       0.950000000077    2.63266818286e-22 
              15000.0       -33.7665997324       0.949999999434    3.69066285539e-22 
              20000.0       -33.7665996891       0.949999996849    5.73025181999e-22 
              30000.0       -33.7665997368        0.94999999969    1.07909279857e-21 
              50000.0       -33.7665997855       0.950000002598    2.45255212119e-21 
             100000.0       -33.7665997824       0.950000002415    7.83102510007e-21 
