#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                  5.0       -33.7665997329       0.949999999459    1.84074061504e-27 
                  6.0       -33.7665997383       0.949999999782     1.9375860726e-27 
                  8.0       -33.7665997116       0.949999998191    2.19711791908e-27 
                 10.0       -33.7665997329       0.949999999461    2.59453755019e-27 
                 15.0       -33.7665997913       0.950000002942    4.05083147713e-27 
                 20.0        -33.766599758        0.95000000096    5.56472962524e-27 
                 25.0       -33.7665997406       0.949999999921    7.03784675706e-27 
                 30.0       -33.7665996488       0.949999994442     8.4021184872e-27 
                 40.0       -33.7665997452       0.950000000192    1.09594859385e-26 
                 50.0       -33.7665997477       0.950000000345    1.34169383671e-26 
                 60.0       -33.7665998004       0.950000003486    1.58419175892e-26 
                 70.0       -33.7665997428       0.950000000053    1.82349892427e-26 
                 80.0        -33.766599715       0.949999998396    2.06319674971e-26 
                 90.0       -33.7665998233       0.950000004853    2.29871166981e-26 
                100.0       -33.7665997466        0.95000000028    2.53067007984e-26 
                110.0       -33.7665997442       0.950000000136     2.7661387908e-26 
                120.0       -33.7665997439       0.950000000118    2.99907606283e-26 
                130.0       -33.7665998162       0.950000004429    3.23746653604e-26 
                140.0       -33.7665997268       0.949999999099    3.47666662459e-26 
                150.0       -33.7665997431       0.950000000072    3.71251565692e-26 
                160.0       -33.7665997342       0.949999999537    3.94287593683e-26 
                180.0       -33.7665996679       0.949999995586    4.41185870449e-26 
                200.0       -33.7665996847       0.949999996584    4.89405332962e-26 
                220.0       -33.7665997211       0.949999998756    5.38155150923e-26 
                240.0       -33.7665997245       0.949999998961    5.86356510695e-26 
                260.0       -33.7665997416       0.949999999981    6.35572090442e-26 
                280.0       -33.7665997445       0.950000000151    6.84744716593e-26 
                300.0       -33.7665997441       0.950000000129    7.32205745573e-26 
                330.0       -33.7665997202       0.949999998702    8.05373792205e-26 
                360.0       -33.7665997388       0.949999999813     8.7931945228e-26 
                400.0       -33.7665997567       0.950000000877    9.79330539086e-26 
                450.0       -33.7665997368       0.949999999694      1.111488584e-25 
                500.0       -33.7665997433       0.950000000078    1.24797302275e-25 
                550.0       -33.7665997935       0.950000003076    1.38849735064e-25 
                600.0       -33.7665997515       0.950000000571     1.5299715763e-25 
                650.0       -33.7665997362       0.949999999655     1.6712390912e-25 
                700.0       -33.7665997354       0.949999999607    1.81543893371e-25 
                750.0       -33.7665997384        0.94999999979    1.96277332433e-25 
                800.0       -33.7665997404       0.949999999909    2.11323374405e-25 
                900.0       -33.7665997173       0.949999998528     2.4211721333e-25 
               1000.0       -33.7665997071       0.949999997924    2.73198101084e-25 
               1100.0       -33.7665997406       0.949999999922     3.0579818944e-25 
               1200.0       -33.7665997433        0.95000000008    3.40393607383e-25 
               1300.0       -33.7665997384        0.94999999979    3.75831132592e-25 
               1500.0       -33.7665997529       0.950000000653    4.48536611058e-25 
               1700.0        -33.766599749       0.950000000418    5.24877186414e-25 
               2000.0       -33.7665997416       0.949999999979    6.46134740307e-25 
               2500.0       -33.7665997935       0.950000003072    8.64022749272e-25 
               3000.0       -33.7665997415       0.949999999972    1.10211787671e-24 
               4000.0       -33.7665997403       0.949999999901    1.63540430396e-24 
               5000.0        -33.766599733       0.949999999464    2.22866683516e-24 
               6000.0       -33.7665997116       0.949999998192    2.88372273589e-24 
               7000.0       -33.7665997682       0.950000001565    3.59316270319e-24 
               8000.0       -33.7665997721       0.950000001796    4.35247674673e-24 
               9000.0       -33.7665997756       0.950000002007    5.16206275014e-24 
              10000.0       -33.7665997494       0.950000000446    6.02045553261e-24 
              12000.0       -33.7665997017       0.949999997599    7.87272404499e-24 
              15000.0       -33.7665997078       0.949999997966    1.09660529208e-23 
              20000.0       -33.7665997637       0.950000001298    1.68928433237e-23 
              30000.0       -33.7665997391       0.949999999828    3.13331597666e-23 
              50000.0       -33.7665997414       0.949999999966    6.91835076862e-23 
             100000.0        -33.766599773       0.950000001851    2.07500069591e-22 
