#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                130.0       -33.7665997566       0.950000000877    4.31108360448e-26 
                140.0       -33.7665997352       0.949999999599    4.62138129191e-26 
                150.0       -33.7665997441        0.95000000013    4.92714714682e-26 
                160.0       -33.7665998134       0.950000004259    5.22122058504e-26 
                180.0       -33.7665997394       0.949999999846    5.79885422436e-26 
                200.0       -33.7665997524       0.950000000622    6.37406928064e-26 
                220.0       -33.7665998279       0.950000005124    6.95247330632e-26 
                240.0       -33.7665997628       0.950000001242    7.52281847213e-26 
                260.0       -33.7665996418       0.949999994027    8.10010113516e-26 
                280.0       -33.7665996456       0.949999994253    8.66226865265e-26 
                300.0       -33.7665997193       0.949999998651    9.22299319482e-26 
                330.0       -33.7665997444       0.950000000149    1.00502012851e-25 
                360.0        -33.766599743       0.950000000065    1.08827471029e-25 
                400.0        -33.766599742       0.950000000001    1.19810126385e-25 
                450.0       -33.7665997277       0.949999999149    1.34239477815e-25 
                500.0       -33.7665997459       0.950000000235    1.47903747452e-25 
                550.0       -33.7665997385       0.949999999797    1.61966002065e-25 
                600.0       -33.7665996909       0.949999996954    1.76624775362e-25 
                650.0        -33.766599722       0.949999998809    1.90405406852e-25 
                700.0       -33.7665996927       0.949999997065    2.04149971112e-25 
                750.0       -33.7665997435        0.95000000009    2.18149528885e-25 
                800.0       -33.7665997417       0.949999999985    2.31732976488e-25 
                900.0       -33.7665997466       0.950000000277    2.57723397475e-25 
               1000.0       -33.7665997306       0.949999999321    2.85865631261e-25 
               1100.0       -33.7665997476       0.950000000335    3.15481416821e-25 
               1200.0       -33.7665997389        0.94999999982    3.43511254607e-25 
               1300.0        -33.766599767       0.950000001495    3.72195014856e-25 
               1500.0       -33.7665997861       0.950000002632    4.32732309384e-25 
               1700.0        -33.766599691       0.949999996962    4.98197457458e-25 
               2000.0       -33.7665997451       0.950000000188    6.01104971628e-25 
               2500.0        -33.766599722       0.949999998808    7.93488977035e-25 
               3000.0       -33.7665997295       0.949999999259    1.00678429039e-24 
               4000.0       -33.7665997356       0.949999999623    1.49903609243e-24 
               5000.0       -33.7665996905       0.949999996929    2.07162935619e-24 
               6000.0       -33.7665997924       0.950000003009    2.72151386522e-24 
               7000.0       -33.7665997412       0.949999999958    3.44861741142e-24 
               8000.0       -33.7665997372       0.949999999716     4.2488300218e-24 
               9000.0       -33.7665997411       0.949999999947    5.12277590552e-24 
              10000.0       -33.7665997788       0.950000002197    6.06500335049e-24 
              12000.0       -33.7665997414       0.949999999968    8.16024319823e-24 
              15000.0       -33.7665997392       0.949999999836    1.18147919645e-23 
              20000.0        -33.766599741       0.949999999943    1.91997482115e-23 
              30000.0        -33.766599749       0.950000000423    3.85341843015e-23 
              50000.0       -33.7665997097       0.949999998079    9.37557968582e-23 
             100000.0       -33.7665997084       0.949999997998    3.13252098707e-22 
