#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                  5.0       -33.7665997385       0.949999999792    1.60250708662e-26 
                  6.0       -33.7665996632       0.949999995302    3.42939211775e-26 
                  8.0       -33.7665996427       0.949999994082    6.29907601173e-26 
                 10.0       -33.7665997438       0.950000000109    6.86107719537e-26 
                 15.0        -33.766599655       0.949999994817    7.55902575231e-26 
                 20.0       -33.7665997674       0.950000001516    8.49941325132e-26 
                 25.0       -33.7665997377       0.949999999745    1.00288607037e-25 
                 30.0       -33.7665996822       0.949999996439    1.13726361503e-25 
                 40.0       -33.7665996644       0.949999995377    1.32642675783e-25 
                 50.0       -33.7665997469       0.950000000296    1.54816322028e-25 
                 60.0       -33.7665997746       0.950000001946    1.79318157543e-25 
                 70.0       -33.7665997374       0.949999999731    2.05030402025e-25 
                 80.0       -33.7665997506       0.950000000514    2.33736644758e-25 
                 90.0       -33.7665997399       0.949999999877     2.6479600889e-25 
                100.0       -33.7665997345       0.949999999558    2.98454687974e-25 
                110.0       -33.7665997855         0.9500000026    3.31413364525e-25 
                120.0       -33.7665997184       0.949999998596    3.66590208196e-25 
                130.0       -33.7665997529       0.950000000653     4.0466081153e-25 
                140.0       -33.7665997761       0.950000002037    4.42876276194e-25 
                150.0       -33.7665997392       0.949999999834    4.80786018333e-25 
                160.0       -33.7665997389       0.949999999817    5.21280738004e-25 
                180.0       -33.7665997475       0.950000000334    6.06554745639e-25 
                200.0       -33.7665996924       0.949999997045    6.94377555905e-25 
                220.0       -33.7665997327       0.949999999446     7.8527287975e-25 
                240.0       -33.7665997243       0.949999998948    8.81259899975e-25 
                260.0       -33.7665997506       0.950000000517    9.80480161095e-25 
                280.0       -33.7665997467       0.950000000286    1.08126429172e-24 
                300.0       -33.7665997683       0.950000001571    1.18679312695e-24 
                330.0       -33.7665997298       0.949999999273    1.35328101839e-24 
                360.0       -33.7665997287       0.949999999208    1.52458750625e-24 
                400.0       -33.7665996996       0.949999997473    1.75811266417e-24 
                450.0       -33.7665997568       0.950000000886    2.07569820811e-24 
                500.0       -33.7665997163       0.949999998468    2.39474298847e-24 
                550.0       -33.7665997402       0.949999999893     2.7736808175e-24 
                600.0       -33.7665997801       0.950000002275    3.16877264586e-24 
                650.0       -33.7665997346       0.949999999565    3.58460662703e-24 
                700.0       -33.7665996957       0.949999997241    4.01870771084e-24 
                750.0       -33.7665997758       0.950000002017    4.47095699669e-24 
                800.0       -33.7665997466        0.95000000028    4.92920949289e-24 
                900.0       -33.7665997678        0.95000000154    5.90024604423e-24 
               1000.0       -33.7665997526       0.950000000635    6.93223530535e-24 
               1100.0       -33.7665997414       0.949999999969    8.01788308193e-24 
               1200.0       -33.7665997411       0.949999999947    9.13713392297e-24 
               1300.0       -33.7665997307       0.949999999328    1.03082183322e-23 
               1500.0       -33.7665996883       0.949999996799    1.27714457722e-23 
               1700.0       -33.7665997663       0.950000001453    1.53879454624e-23 
               2000.0       -33.7665997228       0.949999998855    1.95606206606e-23 
               2500.0       -33.7665996897       0.949999996886    2.71110201497e-23 
               3000.0       -33.7665997068       0.949999997905    3.52968378515e-23 
               4000.0       -33.7665997528        0.95000000065    5.34257873815e-23 
               5000.0       -33.7665997574       0.950000000923    7.35839301933e-23 
               6000.0       -33.7665996931        0.94999999709    9.57200408903e-23 
               7000.0       -33.7665997417       0.949999999984    1.19619711637e-22 
               8000.0       -33.7665997928       0.950000003033    1.45218936694e-22 
               9000.0       -33.7665997642        0.95000000133     1.7264410682e-22 
              10000.0       -33.7665997514       0.950000000565       2.01596731e-22 
              12000.0       -33.7665997422       0.950000000016    2.64332800627e-22 
              15000.0       -33.7665997413       0.949999999962    3.69759112067e-22 
              20000.0       -33.7665996948       0.949999997189     5.7341250776e-22 
              30000.0       -33.7665997368       0.949999999693    1.07926526776e-21 
              50000.0       -33.7665997856       0.950000002605    2.45314841239e-21 
             100000.0       -33.7665997803       0.950000002285     7.8308346506e-21 
