#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                  5.0       -33.7665997409       0.949999999939    2.08779459228e-27 
                  6.0       -33.7665998174       0.950000004501    2.17466127586e-27 
                  8.0       -33.7665997413       0.949999999959    2.42017484025e-27 
                 10.0       -33.7665997452       0.950000000191    2.76940297346e-27 
                 15.0       -33.7665997414       0.949999999966    4.08988516038e-27 
                 20.0       -33.7665997415       0.949999999973     5.6304228091e-27 
                 25.0       -33.7665997496       0.950000000459    7.18895621003e-27 
                 30.0       -33.7665998417       0.950000005949    8.63818427237e-27 
                 40.0       -33.7665997484       0.950000000382    1.13551401349e-26 
                 50.0       -33.7665997141       0.949999998339    1.39083071123e-26 
                 60.0       -33.7665997987       0.950000003387    1.64284873944e-26 
                 70.0       -33.7665996901       0.949999996906    1.89049628222e-26 
                 80.0       -33.7665997381        0.94999999977    2.13532237079e-26 
                 90.0        -33.766599744       0.950000000121    2.37965379814e-26 
                100.0       -33.7665997549       0.950000000775    2.62035635008e-26 
                110.0       -33.7665997444       0.950000000148    2.85893645343e-26 
                120.0       -33.7665997439       0.950000000117    3.09869687555e-26 
                130.0       -33.7665997442       0.950000000135    3.33789415946e-26 
                140.0        -33.766599818       0.950000004533     3.5803413469e-26 
                150.0       -33.7665997316       0.949999999381    3.82538288122e-26 
                160.0       -33.7665997571       0.950000000903    4.07052426118e-26 
                180.0        -33.766599745       0.950000000181    4.54249189701e-26 
                200.0       -33.7665997605       0.950000001104    5.02119361174e-26 
                220.0       -33.7665998132       0.950000004251    5.51908796288e-26 
                240.0       -33.7665997254       0.949999999012    6.01294420932e-26 
                260.0       -33.7665997174       0.949999998534      6.503350821e-26 
                280.0       -33.7665997408       0.949999999932    7.00238736981e-26 
                300.0       -33.7665997435       0.950000000094    7.50330682072e-26 
                330.0       -33.7665997268       0.949999999098     8.2326471921e-26 
                360.0       -33.7665997375       0.949999999732    8.97524634991e-26 
                400.0       -33.7665997416       0.949999999977    9.98555423699e-26 
                450.0        -33.766599729       0.949999999229     1.1279905063e-25 
                500.0       -33.7665997453       0.950000000198    1.26437265211e-25 
                550.0       -33.7665997412       0.949999999958    1.40409934137e-25 
                600.0       -33.7665998039       0.950000003694    1.54809247372e-25 
                650.0       -33.7665997469       0.950000000294    1.69102244038e-25 
                700.0       -33.7665997367       0.949999999686    1.83463507815e-25 
                750.0       -33.7665997354       0.949999999612      1.981208151e-25 
                800.0       -33.7665997384        0.94999999979    2.13059744933e-25 
                900.0       -33.7665996958       0.949999997249    2.43864581046e-25 
               1000.0       -33.7665997234       0.949999998896    2.75235007065e-25 
               1100.0       -33.7665996934       0.949999997106    3.07004484816e-25 
               1200.0       -33.7665997441       0.950000000131    3.40906400044e-25 
               1300.0       -33.7665997426        0.95000000004    3.76088684433e-25 
               1500.0       -33.7665997337       0.949999999507    4.48436402541e-25 
               1700.0        -33.766599748       0.950000000359     5.2367262858e-25 
               2000.0       -33.7665997409        0.94999999994    6.43026405137e-25 
               2500.0       -33.7665997271       0.949999999113    8.57406162491e-25 
               3000.0       -33.7665997411        0.94999999995    1.09114186398e-24 
               4000.0       -33.7665997197       0.949999998674    1.61342726642e-24 
               5000.0       -33.7665997712       0.950000001743    2.19443330172e-24 
               6000.0       -33.7665997114       0.949999998181    2.83506595963e-24 
               7000.0       -33.7665997775       0.950000002123    3.52836906399e-24 
               8000.0       -33.7665997741        0.95000000192    4.27097805204e-24 
               9000.0        -33.766599771       0.950000001732    5.06140534531e-24 
              10000.0       -33.7665997492       0.950000000432    5.90165318801e-24 
              12000.0        -33.766599701       0.949999997558    7.70988787885e-24 
              15000.0        -33.766599795       0.950000003165    1.07339055464e-23 
              20000.0        -33.766599765       0.950000001377    1.65375872206e-23 
              30000.0       -33.7665997389       0.949999999821    3.06820712002e-23 
              50000.0       -33.7665997632       0.950000001267    6.78867362187e-23 
             100000.0        -33.766599787       0.950000002685    2.04319985477e-22 
