#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                  5.0       -33.7665998242       0.950000004908    2.23723541188e-27 
                  6.0       -33.7665997835       0.950000002481    2.17058622922e-27 
                  8.0       -33.7665997414       0.949999999966    2.77322432971e-27 
                 10.0       -33.7665997308       0.949999999334    4.26565116263e-27 
                 15.0       -33.7665997564       0.950000000863    7.79567124528e-27 
                 20.0       -33.7665997482       0.950000000375    1.02257091977e-26 
                 25.0       -33.7665996254       0.949999993047    1.21460041213e-26 
                 30.0        -33.766599797       0.950000003284     1.3949937326e-26 
                 40.0       -33.7665996589       0.949999995049    1.70636281933e-26 
                 50.0        -33.766599761       0.950000001137    1.96143318092e-26 
                 60.0       -33.7665997416       0.949999999979    2.21779439881e-26 
                 70.0       -33.7665996955       0.949999997232    2.45836121021e-26 
                 80.0       -33.7665997408       0.949999999934     2.7148240932e-26 
                 90.0       -33.7665997393       0.949999999842    2.99786951342e-26 
                100.0       -33.7665997426       0.950000000039    3.30570709608e-26 
                110.0       -33.7665997094        0.94999999806    3.64565601852e-26 
                120.0       -33.7665997436         0.9500000001    4.01116388381e-26 
                130.0       -33.7665997035       0.949999997707    4.40992355368e-26 
                140.0       -33.7665997364        0.94999999967    4.82050474888e-26 
                150.0       -33.7665997412       0.949999999958     5.2543469948e-26 
                160.0       -33.7665997272       0.949999999119    5.71337135754e-26 
                180.0       -33.7665997646       0.950000001349    6.68321089739e-26 
                200.0       -33.7665997394       0.949999999848    7.71886310378e-26 
                220.0       -33.7665997406       0.949999999917    8.83774101259e-26 
                240.0        -33.766599741       0.949999999941    1.00273024359e-25 
                260.0       -33.7665997308       0.949999999338    1.12943441973e-25 
                280.0       -33.7665997413       0.949999999964    1.26162558417e-25 
                300.0        -33.766599743       0.950000000061    1.40097373395e-25 
                330.0       -33.7665997284        0.94999999919    1.62344707642e-25 
                360.0       -33.7665997471       0.950000000309    1.86113162588e-25 
                400.0       -33.7665997545       0.950000000747    2.19907306479e-25 
                450.0       -33.7665997928       0.950000003031    2.66252916985e-25 
                500.0       -33.7665997485       0.950000000389    3.16325803518e-25 
                550.0       -33.7665997533       0.950000000677    3.71158770968e-25 
                600.0       -33.7665997359       0.949999999639    4.30171266297e-25 
                650.0       -33.7665997727       0.950000001831    4.93739432121e-25 
                700.0       -33.7665996956       0.949999997235    5.61778532554e-25 
                750.0       -33.7665997324       0.949999999431    6.34273297261e-25 
                800.0       -33.7665997262       0.949999999063    7.11387615589e-25 
                900.0       -33.7665997149       0.949999998388    8.81163797939e-25 
               1000.0       -33.7665997895       0.950000002834    1.07060126845e-24 
               1100.0       -33.7665997691        0.95000000162    1.28188886757e-24 
               1200.0       -33.7665997604       0.950000001102    1.51395915169e-24 
               1300.0       -33.7665997524       0.950000000621    1.76848372769e-24 
               1500.0       -33.7665997054        0.94999999782    2.34701187764e-24 
               1700.0       -33.7665996884       0.949999996805    3.02398125742e-24 
               2000.0       -33.7665997413       0.949999999961    4.22521916169e-24 
               2500.0       -33.7665997428       0.950000000051     6.7528737488e-24 
               3000.0       -33.7665997409       0.949999999936    9.95206291559e-24 
               4000.0       -33.7665997392       0.949999999837    1.84430477048e-23 
               5000.0        -33.766599743       0.950000000065    2.96843554442e-23 
               6000.0       -33.7665997408        0.94999999993    4.36253630091e-23 
               7000.0       -33.7665997103        0.94999999811    6.01231960942e-23 
               8000.0       -33.7665997018       0.949999997603    7.90751676072e-23 
               9000.0       -33.7665997416       0.949999999978    1.00326672009e-22 
              10000.0       -33.7665997248       0.949999998978    1.23781142864e-22 
              12000.0       -33.7665997434       0.950000000087     1.7669543969e-22 
              15000.0       -33.7665997407       0.949999999925    2.70068325028e-22 
              20000.0        -33.766599709       0.949999998035    4.58113961635e-22 
              30000.0       -33.7665997313       0.949999999364    9.41172376699e-22 
              50000.0       -33.7665997347       0.949999999569    2.27883969243e-21 
             100000.0       -33.7665997427       0.950000000044    7.59147195259e-21 
