#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                180.0       -33.7665997416       0.949999999978    6.16301352371e-26 
                200.0       -33.7665997677       0.950000001538      6.781780729e-26 
                220.0       -33.7665997071       0.949999997923     7.3861994946e-26 
                240.0       -33.7665997448       0.950000000167    7.97920255518e-26 
                260.0       -33.7665997704       0.950000001695    8.56978363146e-26 
                280.0       -33.7665997415       0.949999999971    9.16540622174e-26 
                300.0       -33.7665997008       0.949999997544     9.7396495317e-26 
                330.0       -33.7665997438       0.950000000113     1.0600250965e-25 
                360.0       -33.7665997408       0.949999999932    1.14636629313e-25 
                400.0       -33.7665997454       0.950000000207    1.26302432883e-25 
                450.0       -33.7665997221       0.949999998817     1.4109711605e-25 
                500.0       -33.7665997468       0.950000000287     1.5526050276e-25 
                550.0       -33.7665997392       0.949999999833    1.69789037634e-25 
                600.0       -33.7665997414       0.949999999968    1.85093673158e-25 
                650.0       -33.7665997457       0.950000000222    1.99618572091e-25 
                700.0       -33.7665997215       0.949999998779    2.14132874034e-25 
                750.0       -33.7665997385       0.949999999797    2.28828847508e-25 
                800.0       -33.7665997318       0.949999999397    2.43760314282e-25 
                900.0        -33.766599784       0.950000002506    2.72254219602e-25 
               1000.0       -33.7665997441       0.950000000129    3.00557456363e-25 
               1100.0       -33.7665997006       0.949999997534    3.31149620875e-25 
               1200.0       -33.7665996908       0.949999996952    3.62410200753e-25 
               1300.0       -33.7665997851       0.950000002575    3.94450023001e-25 
               1500.0         -33.76659971       0.949999998095    4.56872897237e-25 
               1700.0        -33.766599736       0.949999999644    5.21828744552e-25 
               2000.0       -33.7665997893       0.950000002823    6.23793626104e-25 
               2500.0       -33.7665997425       0.950000000031    8.09183968895e-25 
               3000.0       -33.7665997408       0.949999999932    1.00740695402e-24 
               4000.0       -33.7665997307       0.949999999328    1.45155127414e-24 
               5000.0       -33.7665997161       0.949999998459    1.94927086173e-24 
               6000.0        -33.766599691        0.94999999696    2.49823025757e-24 
               7000.0       -33.7665996876       0.949999996762    3.09335525136e-24 
               8000.0       -33.7665997734       0.950000001876    3.73527690901e-24 
               9000.0        -33.766599795       0.950000003166    4.42309182125e-24 
              10000.0       -33.7665997478       0.950000000351    5.15305226992e-24 
              12000.0       -33.7665996991       0.949999997444    6.73806715821e-24 
              15000.0       -33.7665997416        0.94999999998    9.40863815849e-24 
              20000.0       -33.7665997162       0.949999998463    1.45896721642e-23 
              30000.0       -33.7665997361       0.949999999649    2.74595970882e-23 
              50000.0       -33.7665997426       0.950000000037    6.21566394195e-23 
             100000.0       -33.7665997469       0.950000000296    1.93294205376e-22 
