#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                130.0       -33.7665997339       0.949999999519    2.25412125271e-22 
                140.0       -33.7665997375       0.949999999736    8.74157433293e-23 
                150.0       -33.7665996543        0.94999999477    5.34406364497e-23 
                160.0       -33.7665997422       0.950000000014    3.89832203223e-23 
                180.0        -33.766599731        0.94999999935     2.6003004039e-23 
                200.0       -33.7665997372       0.949999999719    2.04136935524e-23 
                220.0       -33.7665997374       0.949999999728    1.74116847976e-23 
                240.0       -33.7665997554       0.950000000805    1.56071306808e-23 
                260.0       -33.7665997479       0.950000000356     1.4452764254e-23 
                280.0        -33.766599741       0.949999999945    1.36734933097e-23 
                300.0       -33.7665997158       0.949999998439    1.31050078609e-23 
                330.0       -33.7665998269       0.950000005066    1.25405599216e-23 
                360.0       -33.7665996614       0.949999995193    1.22210635341e-23 
                400.0       -33.7665998127       0.950000004218    1.20171282843e-23 
                450.0       -33.7665998077       0.950000003924    1.19320419411e-23 
                500.0       -33.7665997344       0.949999999549    1.19720961663e-23 
                550.0       -33.7665997814       0.950000002354    1.21375208066e-23 
                600.0       -33.7665996527       0.949999994679    1.23832330391e-23 
                650.0        -33.766599749       0.950000000421    1.26239504792e-23 
                700.0       -33.7665997489       0.950000000416    1.28956150305e-23 
                750.0       -33.7665997404       0.949999999907    1.31919508806e-23 
                800.0       -33.7665997333       0.949999999484    1.35056114318e-23 
                900.0       -33.7665998058       0.950000003808    1.41226910609e-23 
               1000.0       -33.7665997869        0.95000000268    1.47791278512e-23 
               1100.0       -33.7665997431       0.950000000071    1.54481056309e-23 
               1200.0         -33.76659974       0.949999999884     1.6199472085e-23 
               1300.0         -33.76659974       0.949999999884    1.69853672948e-23 
               1500.0       -33.7665997455       0.950000000215    1.85959273463e-23 
               1700.0       -33.7665997377       0.949999999749    2.01513531244e-23 
               2000.0       -33.7665996982       0.949999997391    2.25727057633e-23 
               2500.0       -33.7665997484       0.950000000386    2.68161914876e-23 
               3000.0       -33.7665997791       0.950000002214    3.12807277101e-23 
               4000.0       -33.7665997881       0.950000002754    4.08348913503e-23 
               5000.0       -33.7665997222       0.949999998823    5.13392821957e-23 
               6000.0       -33.7665997734       0.950000001878    6.24812018206e-23 
               7000.0       -33.7665997445       0.950000000152    7.43477355954e-23 
               8000.0       -33.7665996861       0.949999996667    8.69447234504e-23 
               9000.0       -33.7665997391        0.94999999983      1.001684785e-22 
              10000.0       -33.7665997409       0.949999999937    1.14034398996e-22 
              12000.0       -33.7665997416       0.949999999981     1.4361589747e-22 
              15000.0       -33.7665997699       0.950000001667    1.92412811693e-22 
              20000.0       -33.7665997639       0.950000001307    2.85217931157e-22 
              30000.0       -33.7665997498       0.950000000471    5.10819669041e-22 
              50000.0       -33.7665997416       0.949999999981    1.11074949325e-21 
             100000.0       -33.7665997454       0.950000000209    3.41003842566e-21 
