#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                130.0       -33.7665997339       0.949999999519    2.25412125271e-22 
                140.0       -33.7665997375       0.949999999736    8.74157433293e-23 
                150.0       -33.7665996543        0.94999999477    5.34406364497e-23 
                160.0       -33.7665997422       0.950000000014    3.89832203223e-23 
                180.0       -33.7665997291       0.949999999233    2.61676035523e-23 
                200.0       -33.7665996996       0.949999997475    2.06442247186e-23 
                220.0       -33.7665997226       0.949999998844     1.7673152374e-23 
                240.0        -33.766599832       0.950000005372    1.58793846671e-23 
                260.0       -33.7665998245       0.950000004926     1.4721148257e-23 
                280.0       -33.7665997412       0.949999999957     1.3940684811e-23 
                300.0        -33.766599829       0.950000005189    1.33699370129e-23 
                330.0       -33.7665998335       0.950000005463    1.28046219661e-23 
                360.0       -33.7665996794       0.949999996268    1.24779167176e-23 
                400.0       -33.7665998215       0.950000004743    1.22671235806e-23 
                450.0         -33.76659978       0.950000002272    1.22106658317e-23 
                500.0        -33.766599741       0.949999999942    1.22459544909e-23 
                550.0       -33.7665997085       0.949999998002    1.23868115845e-23 
                600.0       -33.7665998218       0.950000004763    1.26325740009e-23 
                650.0       -33.7665997504       0.950000000503    1.29047299934e-23 
                700.0       -33.7665997472       0.950000000312    1.31761709414e-23 
                750.0       -33.7665997503         0.9500000005    1.34703933865e-23 
                800.0       -33.7665997236       0.949999998904    1.37819564336e-23 
                900.0       -33.7665997521       0.950000000603    1.44216627281e-23 
               1000.0       -33.7665997351       0.949999999591     1.5079635043e-23 
               1100.0       -33.7665996962       0.949999997269    1.57405638827e-23 
               1200.0       -33.7665997425        0.95000000003    1.64638588853e-23 
               1300.0       -33.7665997407       0.949999999928    1.72464119442e-23 
               1500.0        -33.766599714       0.949999998331    1.88756613451e-23 
               1700.0       -33.7665997379       0.949999999761    2.04228943492e-23 
               2000.0       -33.7665997826       0.950000002426    2.28356904989e-23 
               2500.0       -33.7665997465       0.950000000274    2.70514501105e-23 
               3000.0        -33.766599743       0.950000000065    3.15249147661e-23 
               4000.0       -33.7665996868        0.94999999671    4.10574032747e-23 
               5000.0       -33.7665997122       0.949999998228    5.15506572082e-23 
               6000.0       -33.7665997729       0.950000001845    6.26702909876e-23 
               7000.0       -33.7665997464       0.950000000265    7.45288814557e-23 
               8000.0       -33.7665997955       0.950000003193     8.7109306335e-23 
               9000.0       -33.7665997411        0.94999999995     1.0032344484e-22 
              10000.0       -33.7665997407       0.949999999927    1.14179086621e-22 
              12000.0       -33.7665997416       0.949999999981     1.4374646509e-22 
              15000.0        -33.766599788       0.950000002747    1.92524490475e-22 
              20000.0       -33.7665997649       0.950000001367    2.85312698395e-22 
              30000.0       -33.7665997504       0.950000000504    5.10901222454e-22 
              50000.0       -33.7665997416       0.949999999981    1.11084505388e-21 
             100000.0       -33.7665997455       0.950000000209    3.41013008686e-21 
