#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                130.0       -33.7665997339       0.949999999519    2.25412125271e-22 
                140.0       -33.7665997375       0.949999999736    8.74157433293e-23 
                150.0       -33.7665996543        0.94999999477    5.34406364497e-23 
                160.0       -33.7665997422       0.950000000014    3.89832203223e-23 
                180.0       -33.7665997406       0.949999999919    2.41221148876e-23 
                200.0       -33.7665998138       0.950000004286    1.78042920554e-23 
                220.0       -33.7665996624       0.949999995254    1.46107376723e-23 
                240.0       -33.7665997066        0.94999999789    1.27120211809e-23 
                260.0        -33.766599732       0.949999999407    1.16180666068e-23 
                280.0       -33.7665998101       0.950000004066    1.08107591458e-23 
                300.0       -33.7665997136       0.949999998308    1.02381369556e-23 
                330.0       -33.7665997447       0.950000000166     9.7081396264e-24 
                360.0       -33.7665997322       0.949999999418    9.36742052434e-24 
                400.0       -33.7665997496       0.950000000453     9.1281570779e-24 
                450.0       -33.7665997405       0.949999999914    8.99179808126e-24 
                500.0       -33.7665997794       0.950000002233    8.92195520484e-24 
                550.0       -33.7665997587       0.950000001002    9.02220439701e-24 
                600.0       -33.7665997436       0.950000000097    9.13366613746e-24 
                650.0       -33.7665997442       0.950000000136    9.29955704635e-24 
                700.0       -33.7665997446       0.950000000161    9.52387685033e-24 
                750.0       -33.7665997507       0.950000000521    9.77026033261e-24 
                800.0       -33.7665997428       0.950000000052    1.00349084648e-23 
                900.0       -33.7665997037       0.949999997718    1.05845496724e-23 
               1000.0       -33.7665997423       0.950000000019    1.11651870633e-23 
               1100.0       -33.7665997412       0.949999999958    1.17704196516e-23 
               1200.0       -33.7665997344       0.949999999551    1.24080696699e-23 
               1300.0       -33.7665997135       0.949999998304    1.30387642562e-23 
               1500.0       -33.7665997544       0.950000000744    1.43749031876e-23 
               1700.0       -33.7665997414       0.949999999969    1.58652843414e-23 
               2000.0       -33.7665997783       0.950000002168    1.81430067051e-23 
               2500.0       -33.7665996885       0.949999996811    2.21543721167e-23 
               3000.0       -33.7665996858       0.949999996654    2.64567858204e-23 
               4000.0       -33.7665997025       0.949999997648    3.58451233495e-23 
               5000.0       -33.7665997087       0.949999998014    4.59996542325e-23 
               6000.0       -33.7665997031       0.949999997685    5.69102340103e-23 
               7000.0       -33.7665997588       0.950000001004    6.85919853713e-23 
               8000.0       -33.7665997561       0.950000000844    8.09511227136e-23 
               9000.0       -33.7665997363       0.949999999662     9.3949004064e-23 
              10000.0       -33.7665997672       0.950000001508    1.07630119641e-22 
              12000.0       -33.7665997415       0.949999999976    1.36770495741e-22 
              15000.0       -33.7665997728       0.950000001842    1.85063938947e-22 
              20000.0       -33.7665996933       0.949999997101    2.76989285997e-22 
              30000.0       -33.7665997417       0.949999999983    5.00934653284e-22 
              50000.0       -33.7665997416        0.94999999998     1.0979509319e-21 
             100000.0       -33.7665997427       0.950000000044    3.38902578782e-21 
