#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                 90.0       -33.7665997765       0.950000002064    3.56666280418e-26 
                100.0       -33.7665997237       0.949999998915    3.92477878441e-26 
                110.0       -33.7665997855       0.950000002598     4.2851778168e-26 
                120.0       -33.7665997959       0.950000003218    4.64666987348e-26 
                130.0       -33.7665997511       0.950000000547    4.98766530488e-26 
                140.0       -33.7665998274       0.950000005096    5.32410613783e-26 
                150.0       -33.7665997101       0.949999998101     5.6576730209e-26 
                160.0       -33.7665997764       0.950000002057    5.99013851969e-26 
                180.0        -33.766599745       0.950000000185    6.63507510889e-26 
                200.0       -33.7665997447       0.950000000162    7.28555180026e-26 
                220.0        -33.766599769       0.950000001611    7.94696696133e-26 
                240.0       -33.7665996697       0.949999995693    8.61785471479e-26 
                260.0       -33.7665997903       0.950000002886    9.26307931344e-26 
                280.0       -33.7665997443       0.950000000143     9.9044450422e-26 
                300.0       -33.7665997359       0.949999999639    1.05562805501e-25 
                330.0        -33.766599741       0.949999999943    1.15859469102e-25 
                360.0       -33.7665997386         0.9499999998    1.25600069232e-25 
                400.0       -33.7665997187       0.949999998613    1.38617376797e-25 
                450.0       -33.7665997433       0.950000000078    1.55179922025e-25 
                500.0       -33.7665997508       0.950000000527    1.70936657832e-25 
                550.0       -33.7665997043       0.949999997753    1.87041346933e-25 
                600.0       -33.7665997072       0.949999997927    2.04199045823e-25 
                650.0       -33.7665996874       0.949999996747    2.21976243516e-25 
                700.0       -33.7665997414       0.949999999965    2.40060146902e-25 
                750.0       -33.7665997402       0.949999999896     2.5766892029e-25 
                800.0       -33.7665997414       0.949999999966    2.75391190559e-25 
                900.0       -33.7665997398       0.949999999873    3.11786933828e-25 
               1000.0       -33.7665997409       0.949999999939    3.49414377476e-25 
               1100.0          -33.7665997       0.949999997495    3.90030353713e-25 
               1200.0        -33.766599777       0.950000002092    4.30393361892e-25 
               1300.0       -33.7665997414       0.949999999966    4.72200006426e-25 
               1500.0       -33.7665997163        0.94999999847     5.6050398452e-25 
               1700.0       -33.7665997445        0.95000000015    6.54757404154e-25 
               2000.0        -33.766599754       0.950000000718    8.06892694892e-25 
               2500.0        -33.766599714       0.949999998333    1.08439696405e-24 
               3000.0        -33.766599698        0.94999999738    1.39272160603e-24 
               4000.0       -33.7665997763       0.950000002049    2.09575102657e-24 
               5000.0       -33.7665997415       0.949999999975    2.90447019969e-24 
               6000.0       -33.7665997924       0.950000003007    3.81177080223e-24 
               7000.0       -33.7665997414       0.949999999968    4.81602919882e-24 
               8000.0       -33.7665997417       0.949999999983    5.91134078843e-24 
               9000.0       -33.7665997579       0.950000000951     7.0939369278e-24 
              10000.0       -33.7665997906       0.950000002903    8.36293426897e-24 
              12000.0       -33.7665997425       0.950000000035    1.11398586443e-23 
              15000.0       -33.7665997412       0.949999999955    1.58852124579e-23 
              20000.0       -33.7665997432       0.950000000073    2.52304136691e-23 
              30000.0       -33.7665997323       0.949999999428    4.88181800403e-23 
              50000.0       -33.7665997273       0.949999999125    1.12973584506e-22 
             100000.0       -33.7665997422       0.950000000015    3.54864021455e-22 
