#                 mDM              ll_dSph              pv_dSph         sigmav_dwlim 
                100.0       -33.7665997442       0.950000000136    3.99184671508e-26 
                110.0       -33.7665997088       0.949999998025    4.35454259806e-26 
                120.0       -33.7665998022       0.950000003591    4.71679086955e-26 
                130.0       -33.7665997913       0.950000002944    5.06207664733e-26 
                140.0       -33.7665997544       0.950000000741    5.40445211153e-26 
                150.0       -33.7665996656       0.949999995445    5.74945567549e-26 
                160.0       -33.7665997904       0.950000002892    6.09257831191e-26 
                180.0       -33.7665998074       0.950000003901    6.76709586647e-26 
                200.0       -33.7665997393        0.94999999984     7.4294392142e-26 
                220.0       -33.7665997452       0.950000000197    8.08845595144e-26 
                240.0       -33.7665997447       0.950000000165    8.75106345741e-26 
                260.0       -33.7665996538       0.949999994745    9.41875148866e-26 
                280.0       -33.7665996813       0.949999996384    1.00986945531e-25 
                300.0       -33.7665997497       0.950000000464    1.07654820558e-25 
                330.0       -33.7665997359        0.94999999964     1.1735157804e-25 
                360.0       -33.7665998099        0.95000000405     1.2728528684e-25 
                400.0       -33.7665997111        0.94999999816    1.41103526658e-25 
                450.0       -33.7665997012        0.94999999757    1.57466540731e-25 
                500.0       -33.7665997762       0.950000002043     1.7419636099e-25 
                550.0       -33.7665997471       0.950000000308    1.90592961903e-25 
                600.0       -33.7665997362       0.949999999657    2.06478890212e-25 
                650.0       -33.7665997173       0.949999998533    2.22790767969e-25 
                700.0       -33.7665997224       0.949999998837    2.40162673562e-25 
                750.0       -33.7665997001       0.949999997507    2.57860924762e-25 
                800.0       -33.7665997428       0.950000000052     2.7583906255e-25 
                900.0       -33.7665997981        0.95000000335    3.10744283925e-25 
               1000.0       -33.7665997773        0.95000000211     3.4648016401e-25 
               1100.0        -33.766599733       0.949999999469    3.83297030681e-25 
               1200.0        -33.766599792       0.950000002988    4.22564031063e-25 
               1300.0       -33.7665997401        0.94999999989    4.62640906692e-25 
               1500.0       -33.7665997653       0.950000001392    5.45319541746e-25 
               1700.0       -33.7665997469       0.950000000298    6.33691014971e-25 
               2000.0       -33.7665997584       0.950000000979    7.78104794672e-25 
               2500.0       -33.7665997838       0.950000002497    1.04063293622e-24 
               3000.0       -33.7665996968       0.949999997305    1.33422382114e-24 
               4000.0       -33.7665997803       0.950000002285    2.00542059335e-24 
               5000.0       -33.7665997412       0.949999999958    2.78174277432e-24 
               6000.0       -33.7665997909       0.950000002917    3.65952830664e-24 
               7000.0       -33.7665997412       0.949999999954    4.63573124304e-24 
               8000.0       -33.7665997412       0.949999999957    5.70399638841e-24 
               9000.0       -33.7665996873       0.949999996743    6.86394811612e-24 
              10000.0       -33.7665997899       0.950000002858    8.11006492915e-24 
              12000.0       -33.7665996913       0.949999996977    1.08582149411e-23 
              15000.0       -33.7665997428       0.950000000048    1.55988909246e-23 
              20000.0       -33.7665997433       0.950000000078     2.5042619696e-23 
              30000.0       -33.7665997287       0.949999999212    4.92341273131e-23 
              50000.0       -33.7665997529       0.950000000655    1.16385223999e-22 
             100000.0       -33.7665997418       0.949999999989    3.75282680383e-22 
