# 90% CL exclusion limit on the spin-independent DM-nucleon interaction from XENON1T (arXiv:1805.12562 [astro-ph.CO]) for 278.8 days live days of data taking and 2000 kg target material
# DM mass [GeV]          sigma_SD_n [cm^2]
    6.00000000000        2.49000000000e-44
    6.30629665182        1.61627173078e-44
    6.62822957678        1.04913024406e-44
    6.96659699792        6.80995805376e-45
    7.32223788709        4.42037859040e-45
    7.69603404519        2.86929034338e-45
    8.08891228858        1.90536106247e-45
    8.50184674705        1.37035667575e-45
    8.93586127919        9.85575624358e-46
    9.39203201101        7.50554567912e-46
    9.87149000413        5.77086126189e-46
   10.37542406025        4.69125028234e-46
   10.90508366872        3.88889277935e-46
   11.46178210464        3.22376469792e-46
   12.04689968505        2.67239531074e-46
   12.66188719143        2.21532815391e-46
   13.30826946683        1.83643445631e-46
   13.98764919669        1.52234399511e-46
   14.70171088265        1.26197329368e-46
   15.45222501920        1.08548636201e-46
   16.24105248361        9.57289701897e-47
   17.07014914990        8.44233152469e-47
   17.94157073833        7.44528656597e-47
   18.85747791258        6.56599327891e-47
   19.82014163696        5.79054511289e-47
   20.83194880728        5.47274677952e-47
   21.89540816903        5.25237449325e-47
   23.01315653774        5.04087598582e-47
   24.18796533695        4.83789393485e-47
   25.42274746977        4.64308540632e-47
   26.72056454143        4.45612127523e-47
   28.08463445037        4.27668566952e-47
   29.51833936698        4.10447543641e-47
   31.02523411952        4.09801825015e-47
   32.60905500829        4.17021391191e-47
   34.27372906961        4.24368146006e-47
   36.02338381282        4.31844330167e-47
   37.86235745431        4.39452223859e-47
   39.79520967400        4.47194147438e-47
   41.82673292090        4.62623995599e-47
   43.96196429592        4.79492439733e-47
   46.20619804110        4.96975950120e-47
   48.56499866662        5.15096953636e-47
   51.04421474779        5.34314865605e-47
   53.64999342642        5.54887840025e-47
   56.38879565250        5.76252945272e-47
   59.26741220388        5.98440681128e-47
   62.29298052385        6.21482721725e-47
   65.47300241820        6.45411960755e-47
   68.81536265570        6.70262558433e-47
   72.32834851819        6.97627842040e-47
   76.02067034861        7.26957627905e-47
   79.90148314803        7.57520501511e-47
   83.98040927526        7.89368304536e-47
   88.26756230512        8.22555058197e-47
   92.77357210478        8.57137054881e-47
   97.50961119023        8.93172953625e-47
  102.48742242814        9.32234758959e-47
  107.71934815196        9.74626177931e-47
  113.21836076442        1.01894525770e-46
  118.99809490212        1.06527965461e-46
  125.07288124228        1.11372101096e-46
  131.45778203519        1.16436513631e-46
  138.16862845061        1.21731219697e-46
  145.22205983068        1.27266691408e-46
  152.63556494667        1.33177615608e-46
  160.42752536186        1.39604044059e-46
  168.61726100810        1.46340577045e-46
  177.22507808896        1.53402178527e-46
  186.27231942837        1.60804534546e-46
  195.78141738951        1.68564088065e-46
  205.77594949520        1.76753011360e-46
  216.28069688764        1.85382902076e-46
  227.32170577248        1.94434143541e-46
  238.92635199967        2.03927308027e-46
  251.12340894102        2.13883972237e-46
  263.94311883289        2.24326766349e-46
  277.41726776094        2.35279425448e-46
  291.57926447278        2.46766843476e-46
  306.46422321394        2.58815129812e-46
  322.10905079256        2.71451668610e-46
  338.55253808879        2.84705181050e-46
  355.83545623551        2.98605790605e-46
  374.00065770922        3.13185091519e-46
  393.09318258143        3.28476220608e-46
  413.16037019415        3.44827319816e-46
  434.25197653639        3.62169494885e-46
  456.42029761263        3.80383848633e-46
  479.72029910922        3.99514244971e-46
  504.20975268009        4.19606753832e-46
  529.94937918989        4.40709762111e-46
  557.00299926951        4.62874090197e-46
  585.43769155744        4.86153114351e-46
  615.32395901924        5.10602895255e-46
  646.73590375751        5.36282313014e-46
  679.75141074585        5.63253208950e-46
  714.45234094226        5.91580534532e-46
  750.92473426103        6.21332507788e-46
  789.25902290600        6.52580777594e-46
  829.55025559458        6.85400596215e-46
  871.89833322817        7.19871000527e-46
  916.40825659343        7.56075002358e-46
  963.19038670859        7.94099788397e-46
 1012.36071846025        8.34168998900e-46
 1064.04116820929        8.76683715166e-46
 1118.35987607873        9.21365259859e-46
 1175.45152367340        9.68324068747e-46
 1235.45766801889        1.01767620613e-45
 1298.52709254795        1.06954365171e-45
 1364.81617600454        1.12405460207e-45
 1434.48928018024        1.18134378752e-45
 1507.71915744438        1.24155280512e-45
 1584.68737907834        1.30483046865e-45
 1665.58478547608        1.37133317640e-45
 1750.61195932719        1.44122529776e-45
 1839.97972295562        1.51467957943e-45
 1933.90966104733        1.59187757245e-45
 2032.63467006284        1.67301008086e-45
 2136.39953569699        1.75827763335e-45
 2245.46153981779        1.84789097885e-45
 2360.09109838901        1.94207160742e-45
 2480.57243195848        2.04105229775e-45
 2607.20427037439        2.14507769241e-45
 2740.30059347697        2.25440490258e-45
 2880.19140960211        2.36930414351e-45
 3027.22357382707        2.49005940238e-45
 3181.76164798725        2.61696914024e-45
 3344.18880459631        2.75034702964e-45
 3514.90777691093        2.89052272995e-45
 3694.34185749578        3.03784270214e-45
 3882.93594776476        3.19267106512e-45
 4081.15766110069        3.35539049564e-45
 4289.49848228860        3.52640317422e-45
 4508.47498613759        3.70613177908e-45
 4738.63011831246        3.89502053092e-45
 4980.53454155122        4.09353629085e-45
 5234.78805060623        4.30216971424e-45
 5502.02105941723        4.52143646351e-45
 5782.89616420381        4.75187848259e-45
 6078.10978635281        4.99406533644e-45
 6388.39389917426        5.24859561876e-45
 6714.51784280717        5.51609843152e-45
 7057.29023177538        5.79723493986e-45
 7417.56095992290        6.09270000619e-45
 7796.22330770022        6.40322390770e-45
 8194.21615702635        6.72957414127e-45
 8612.52631921836        7.07255732043e-45
 9052.19098176036        7.43302116907e-45
 9514.30027997874        7.81185661658e-45
10000.00000000000        8.21000000000e-45
