# HESS bounds on gamma-ray lines from the galactic center, 15.2h of exposure (arxiv:1609.08091)
# Einasto density profile
# J factor = 2.46 10^21 GeV^2 cm^-5
#  DM mass [GeV]                    sigmav_gammagamma [cm^3 s^-1]
100.02608985281918     5.981563734358314e-27
129.76080268853744     1.2801443337196344e-27
200.44679152778218     1.1528031281222229e-27
294.7826373845978     1.2057486140611521e-27
398.525823457242     1.2611257593293507e-27
598.3397080247315     2.5869283407380613e-27
797.5566229950755     3.386835860430474e-27
998.2666284678658     3.0499334110210325e-27
1997.2214419754937     1.4465941202622475e-26

