# HESS bounds on gamma-ray lines from the galactic center, 112h exposure (arxiv:1609.08091)
# Einasto density profile 
# J factor = 2.46 10^21 GeV^2 cm^-5
#  DM mass [GeV]                    sigmav_gammagamma [cm^3 s^-1]
495.4668486793628     6.625750880079474e-28
629.1764903837794     2.6193981520717183e-28
797.7020722085877     2.364727753254955e-27
984.4375711445145     2.6259408569178885e-27
1267.1640703917024     2.6259408569178885e-27
1564.2364501287143     1.6759794493308454e-27
1971.8597003169366     1.2423897360251627e-27
2485.270851060827     1.2994497202451468e-27
3131.7158284812126     2.035990425338833e-27
3946.6077666347455     2.746544029588748e-27
4971.197293891813     9.37197207554134e-27
6222.465905021152     7.831130935461207e-27
7956.762555123803     3.542385117759436e-27
9883.973158255447     9.656774038287612e-27
12630.91605539268     1.4905542218744908e-26
15693.712826055938     2.632499904062639e-26
19647.01255138425     1.6063881343402446e-26

