################################################################################
# FERMI-LAT (arXiv: 1506.00013) GAMMA LINES FLUX UPPER LIMITS AND LIKELIHOODS
################################################################################
# R16, optimised for Einasto (alpha = 0.17, r_s = 20 kpc)
# rho_s = rho(r_sun) = 0.4 GeV cm^{-3}
# r_sun = 8.5 kpc
# --------------------------------------
# -2*log(L) as function of the total line integrated flux
# in the given ROI for the P8 gamma-ray line fit
#   ## log(L) parabolic:
#      -2*log(L) = (x-x0)**2 / sigma**2
#   ## log(L) linear:
#      -2*log(L) = A*x
# --------------------------------------
#   Energy(GeV)      UL_flux(cm^2 s^{-1})       x0 || A           sigma || 0   
  1.0000000000e-01     6.1327264574e-07     4.4189155000e+06   0.0000000000e+00
  1.1080000305e-01     5.8053765713e-07     4.6680865000e+06   0.0000000000e+00
  1.2240000153e-01     6.0755915687e-07     4.4604710000e+06   0.0000000000e+00
  1.3500000000e-01     6.0058922013e-07     4.5122355000e+06   0.0000000000e+00
  1.4839999390e-01     5.8432115412e-07     4.6378605000e+06   0.0000000000e+00
  1.6300000000e-01     5.8196207948e-07     7.6413236849e-11   3.5347036942e-07
  1.7880000305e-01     5.5866616137e-07     7.5769527541e-08   2.9333881457e-07
  1.9589999390e-01     4.9672367672e-07     6.0437848504e-08   2.6502476658e-07
  2.1430000305e-01     4.5500000000e-07     7.3589212946e-08   2.2999452653e-07
  2.3410000610e-01     3.8000000000e-07     4.0654786204e-08   2.0623006947e-07
  2.5530000305e-01     3.4000000000e-07     3.9830933218e-08   1.8282329961e-07
  2.7820001221e-01     3.2400000000e-07     6.0247501210e-08   1.5879258797e-07
  3.0289999390e-01     3.0900000000e-07     7.5125889509e-08   1.4048647756e-07
  3.2939999390e-01     2.8900000000e-07     8.0605992991e-08   1.2569792318e-07
  3.5779998779e-01     2.6300000000e-07     7.5478851613e-08   1.1297758107e-07
  3.8829998779e-01     2.1500000000e-07     4.6700499468e-08   1.0158031927e-07
  4.2100000000e-01     1.8800000000e-07     3.7720461421e-08   9.1005674108e-08
  4.5600000000e-01     1.6700000000e-07     3.1735901018e-08   8.2031867521e-08
  4.9339999390e-01     1.4700000000e-07     2.5403938508e-08   7.3456249083e-08
  5.3320001221e-01     1.3500000000e-07     2.4870512760e-08   6.6013846833e-08
  5.7559997559e-01     1.1800000000e-07     1.9998097400e-08   5.9096709748e-08
  6.2040002441e-01     1.0400000000e-07     1.4638315449e-08   5.3896769714e-08
  6.6790002441e-01     9.8400000000e-08     1.7317910661e-08   4.9020986381e-08
  7.1790002441e-01     8.7800000000e-08     1.4080656641e-08   4.4558142065e-08
  7.7050000000e-01     7.8000000000e-08     1.0712329690e-08   4.0830002490e-08
  8.2590002441e-01     6.7400000000e-08     6.3974656683e-09   3.7053020208e-08
  8.8479998779e-01     6.3600000000e-08     8.4960358748e-09   3.3278290346e-08
  9.4729998779e-01     7.3200000000e-08     2.3288651008e-08   2.9895993237e-08
  1.0135999756e+00     8.6800000000e-08     3.9871075330e-08   2.8486679682e-08
  1.0836999512e+00     9.2900000000e-08     5.0467427570e-08   2.5438501083e-08
  1.1579000244e+00     8.6800000000e-08     4.7488530441e-08   2.3804357596e-08
  1.2361999512e+00     7.5500000000e-08     4.0065916806e-08   2.1492118307e-08
  1.3186999512e+00     6.3900000000e-08     3.2340082612e-08   1.9012910357e-08
  1.4055000000e+00     5.1200000000e-08     2.2771699193e-08   1.7122964380e-08
  1.4978000488e+00     4.0300000000e-08     1.4777085333e-08   1.5391590225e-08
  1.5960000000e+00     3.1700000000e-08     8.8441360901e-09   1.3820021572e-08
  1.7006999512e+00     2.9200000000e-08     8.4564035774e-09   1.2515911862e-08
  1.8120999756e+00     2.2000000000e-08     3.3422720147e-09   1.1363773034e-08
  1.9308000488e+00     1.8400000000e-08     1.7480251691e-09   1.0075326351e-08
  2.0571999512e+00     1.9300000000e-08     4.1996930378e-09   9.1670768754e-09
  2.1916999512e+00     1.8700000000e-08     5.0010564578e-09   8.3235054404e-09
  2.3350000000e+00     1.7500000000e-08     5.0606101532e-09   7.5479631434e-09
  2.4876000977e+00     1.3500000000e-08     2.2626838181e-09   6.8490950689e-09
  2.6496999512e+00     1.0700000000e-08     5.9711241507e-10   6.1631113546e-09
  2.8218000488e+00     8.4400000000e-09     3.2124128000e+08   0.0000000000e+00
  3.0043999023e+00     7.3800000000e-09     3.6709939200e+08   0.0000000000e+00
  3.1980000000e+00     7.8000000000e-09     2.7394886359e-10   4.5672670090e-09
  3.4033000488e+00     9.1500000000e-09     2.2522954612e-09   4.1841343723e-09
  3.6208000488e+00     1.0200000000e-08     3.9039402822e-09   3.8333096697e-09
  3.8511999512e+00     9.2500000000e-09     3.5158402856e-09   3.4770752944e-09
  4.0948999023e+00     7.6400000000e-09     2.4628104001e-09   3.1452764837e-09
  4.3527998047e+00     7.1500000000e-09     2.4476791705e-09   2.8565545485e-09
  4.6252998047e+00     5.6100000000e-09     1.3569328994e-09   2.5798714276e-09
  4.9130000000e+00     4.4500000000e-09     6.0238181110e-10   2.3337947130e-09
  5.2165000000e+00     2.6300000000e-09     1.0290485120e+09   0.0000000000e+00
  5.5362998047e+00     2.1600000000e-09     1.2517734400e+09   0.0000000000e+00
  5.8731000977e+00     2.0600000000e-09     1.3174575360e+09   0.0000000000e+00
  6.2272998047e+00     1.7000000000e-09     1.5966173440e+09   0.0000000000e+00
  6.5996000977e+00     2.2500000000e-09     1.2067285760e+09   0.0000000000e+00
  6.9903999023e+00     2.6000000000e-09     3.5214872685e-10   1.3655347963e-09
  7.4002001953e+00     3.3400000000e-09     1.2456452536e-09   1.2726445453e-09
  7.8293999023e+00     2.5300000000e-09     6.0848215355e-10   1.1691223545e-09
  8.2815996094e+00     1.8600000000e-09     9.8147955041e-11   1.0706795450e-09
  8.7587998047e+00     2.2100000000e-09     5.6906507284e-10   9.9684249744e-10
  9.2622001953e+00     1.2700000000e-09     2.1333536000e+09   0.0000000000e+00
  9.7930996094e+00     7.5900000000e-10     3.5699883520e+09   0.0000000000e+00
  1.0352799805e+01     8.1400000000e-10     3.3288197120e+09   0.0000000000e+00
  1.0942700195e+01     1.2400000000e-09     3.0561435327e-11   7.3298883629e-10
  1.1564200195e+01     1.6000000000e-09     4.6954540256e-10   6.8855310342e-10
  1.2218700195e+01     7.7200000000e-10     3.5098165760e+09   0.0000000000e+00
  1.2907599609e+01     7.8300000000e-10     3.4595770880e+09   0.0000000000e+00
  1.3632500000e+01     8.4200000000e-10     3.2187005440e+09   0.0000000000e+00
  1.4396700195e+01     5.9100000000e-10     4.5873838080e+09   0.0000000000e+00
  1.5205000000e+01     6.5200000000e-10     4.1551549440e+09   0.0000000000e+00
  1.6060099609e+01     6.6600000000e-10     4.0708328960e+09   0.0000000000e+00
  1.6964699219e+01     8.1800000000e-10     9.6302479879e-11   4.3794526339e-10
  1.7921599609e+01     1.0200000000e-09     3.3378169673e-10   4.1446518440e-10
  1.8933900391e+01     5.7900000000e-10     4.6804433920e+09   0.0000000000e+00
  2.0004800781e+01     3.6500000000e-10     7.4151434240e+09   0.0000000000e+00
  2.1137599609e+01     6.5600000000e-10     8.6015680689e-11   3.4523794934e-10
  2.2335800781e+01     3.6600000000e-10     7.4114769920e+09   0.0000000000e+00
  2.3603000000e+01     3.7400000000e-10     7.2554828800e+09   0.0000000000e+00
  2.4942800781e+01     2.9700000000e-10     9.1195340800e+09   0.0000000000e+00
  2.6362699219e+01     3.7800000000e-10     7.1782266880e+09   0.0000000000e+00
  2.7868000000e+01     4.5600000000e-10     1.5649153848e-11   2.6649454865e-10
  2.9464500000e+01     7.0500000000e-10     2.8445432121e-10   2.5418864236e-10
  3.1158400391e+01     4.3700000000e-10     4.4215849732e-11   2.3738855326e-10
  3.2956199219e+01     3.2800000000e-10     8.2608399360e+09   0.0000000000e+00
  3.4865300781e+01     4.1700000000e-10     6.4929766400e+09   0.0000000000e+00
  3.6893300781e+01     4.7100000000e-10     3.1637577974e-11   2.6572216649e-10
  3.9048699219e+01     3.1800000000e-10     8.5284802560e+09   0.0000000000e+00
  4.1340699219e+01     3.0700000000e-10     8.8417228800e+09   0.0000000000e+00
  4.3779199219e+01     4.7100000000e-10     8.5399486094e-11   2.3287363704e-10
  4.6374898438e+01     5.6600000000e-10     1.8632999310e-10   2.2929494414e-10
  4.9139500000e+01     6.4000000000e-10     2.7869714869e-10   2.1798804428e-10
  5.2085800781e+01     4.5600000000e-10     9.8801550275e-11   2.0641888199e-10
  5.5228000000e+01     3.9600000000e-10     5.2142273138e-11   1.9275696317e-10
  5.8581398438e+01     4.8500000000e-10     1.5532743147e-10   1.9179506594e-10
  6.2162898438e+01     3.3200000000e-10     8.1650688000e+09   0.0000000000e+00
  6.5991203125e+01     1.8200000000e-10     1.4903031808e+10   0.0000000000e+00
  7.0086796875e+01     1.9000000000e-10     1.4293896192e+10   0.0000000000e+00
  7.4472601562e+01     3.6300000000e-10     9.6424278284e-11   1.5248345642e-10
  7.9173601562e+01     1.4800000000e-10     1.8271076352e+10   0.0000000000e+00
  8.4203601562e+01     9.5100000000e-11     2.8487006208e+10   0.0000000000e+00
  8.9587898438e+01     9.4700000000e-11     2.8602380288e+10   0.0000000000e+00
  9.5356000000e+01     8.9100000000e-11     3.0425382912e+10   0.0000000000e+00
  1.0154100000e+02     2.2900000000e-10     1.1839794176e+10   0.0000000000e+00
  1.0817800000e+02     4.8900000000e-10     2.5069429865e-10   1.3722763204e-10
  1.1530900000e+02     4.9200000000e-10     2.6373717099e-10   1.3114230535e-10
  1.2297800000e+02     3.8400000000e-10     1.6065296315e-10   1.2697191909e-10
  1.3123500000e+02     3.1100000000e-10     1.0634820108e-10   1.1445708270e-10
  1.4013700000e+02     1.4800000000e-10     1.8282248192e+10   0.0000000000e+00
  1.4971000000e+02     7.6500000000e-11     3.5422740480e+10   0.0000000000e+00
  1.6000300000e+02     7.6400000000e-11     3.5454971904e+10   0.0000000000e+00
  1.7107800000e+02     1.1100000000e-10     2.4477161472e+10   0.0000000000e+00
  1.8300600000e+02     1.7000000000e-10     1.5897690112e+10   0.0000000000e+00
  1.9586500000e+02     2.2200000000e-10     6.5125939364e-11   8.4237485043e-11
  2.0974400000e+02     2.8500000000e-10     1.3550208178e-10   8.2444336080e-11
  2.2474000000e+02     1.5900000000e-10     1.5872106407e-10   8.0586162743e-11
  2.4096300000e+02     1.9300000000e-10     1.4038243328e+10   0.0000000000e+00
  2.5853100000e+02     8.6700000000e-11     3.1270049792e+10   0.0000000000e+00
  2.7756000000e+02     8.4300000000e-11     3.2147290112e+10   0.0000000000e+00
  2.9819700000e+02     1.3200000000e-10     2.0551102464e+10   0.0000000000e+00
  3.2061300000e+02     1.4500000000e-10     1.8641602560e+10   0.0000000000e+00
  3.4500000000e+02     1.1700000000e-10     1.3847851685e-11   7.2145525665e-11
  3.7157700000e+02     6.4600000000e-11     4.1979842560e+10   0.0000000000e+00
  4.0059500000e+02     6.1300000000e-11     4.4192825344e+10   0.0000000000e+00
  4.3234400000e+02     5.6000000000e-11     4.8395243520e+10   0.0000000000e+00
  4.6697400000e+02     4.8700000000e-11     5.5624429568e+10   0.0000000000e+00
