################################################################################
# FERMI-LAT (arXiv: 1506.00013) GAMMA LINES FLUX UPPER LIMITS AND LIKELIHOODS
################################################################################
# R3, optimised for NFWc (gamma = 1.3, r_s = 20 kpc)
# rho_s = rho(r_sun) = 0.4 GeV cm^{-3}
# r_sun = 8.5 kpc
# --------------------------------------
# -2*log(L) as function of the total line integrated flux
# in the given ROI for the P8 gamma-ray line fit
#   ## log(L) parabolic:
#      -2*log(L) = (x-x0)**2 / sigma**2
#   ## log(L) linear:
#      -2*log(L) = A*x
# --------------------------------------
#   Energy(GeV)      UL_flux(cm^2 s^{-1})       x0 || A           sigma || 0   
  1.0000000000e-01     5.2163765183e-13     5.1951771320e+12   0.0000000000e+00
  1.1080000305e-01     2.5788414151e-07     1.0508595000e+07   0.0000000000e+00
  1.2240000153e-01     2.5409036260e-07     1.0665497000e+07   0.0000000000e+00
  1.3500000000e-01     2.4116334349e-07     1.1237197000e+07   0.0000000000e+00
  1.4839999390e-01     2.9366487918e-07     9.2282060000e+06   0.0000000000e+00
  1.6300000000e-01     2.5314308270e-07     8.7586450093e-08   1.0056849220e-07
  1.7880000305e-01     2.6204343404e-07     1.0341797000e+07   0.0000000000e+00
  1.9589999390e-01     2.2303619919e-07     1.2150494000e+07   0.0000000000e+00
  2.1430000305e-01     1.8400000000e-07     1.4697575000e+07   0.0000000000e+00
  2.3410000610e-01     1.5700000000e-07     1.7259038000e+07   0.0000000000e+00
  2.5530000305e-01     1.4800000000e-07     1.8288734000e+07   0.0000000000e+00
  2.7820001221e-01     1.4800000000e-07     1.8367830000e+07   0.0000000000e+00
  3.0289999390e-01     1.3200000000e-07     2.0465672000e+07   0.0000000000e+00
  3.2939999390e-01     1.2800000000e-07     2.1167180000e+07   0.0000000000e+00
  3.5779998779e-01     1.1400000000e-07     4.3814054607e-08   4.2602049888e-08
  3.8829998779e-01     1.0100000000e-07     2.6908900000e+07   0.0000000000e+00
  4.2100000000e-01     9.1600000000e-08     2.9578468000e+07   0.0000000000e+00
  4.5600000000e-01     8.5900000000e-08     3.1549806000e+07   0.0000000000e+00
  4.9339999390e-01     7.4200000000e-08     3.6518572000e+07   0.0000000000e+00
  5.3320001221e-01     6.4500000000e-08     4.2027088000e+07   0.0000000000e+00
  5.7559997559e-01     5.7100000000e-08     4.7435780000e+07   0.0000000000e+00
  6.2040002441e-01     4.6600000000e-08     1.2548444062e-08   2.0730352546e-08
  6.6790002441e-01     3.8300000000e-08     7.0838816000e+07   0.0000000000e+00
  7.1790002441e-01     3.2600000000e-08     8.3218904000e+07   0.0000000000e+00
  7.7050000000e-01     3.3000000000e-08     8.2137032000e+07   0.0000000000e+00
  8.2590002441e-01     2.8500000000e-08     9.5022000000e+07   0.0000000000e+00
  8.8479998779e-01     2.2600000000e-08     1.1972171200e+08   0.0000000000e+00
  9.4729998779e-01     2.5200000000e-08     1.0747303200e+08   0.0000000000e+00
  1.0135999756e+00     2.2500000000e-08     1.1371580122e-08   6.7652785596e-09
  1.0836999512e+00     2.4500000000e-08     1.4181436470e-08   6.2919784938e-09
  1.1579000244e+00     2.2200000000e-08     1.2800991378e-08   5.7296802858e-09
  1.2361999512e+00     1.8200000000e-08     9.6651442405e-09   5.1777120369e-09
  1.3186999512e+00     1.4700000000e-08     6.9894010579e-09   4.6694048628e-09
  1.4055000000e+00     1.2900000000e-08     5.9321862977e-09   4.2089736141e-09
  1.4978000488e+00     1.2100000000e-08     5.7747442384e-09   3.8344114550e-09
  1.5960000000e+00     9.3600000000e-09     3.6471017317e-09   3.4664000559e-09
  1.7006999512e+00     8.1500000000e-09     2.9703648430e-09   3.1440223758e-09
  1.8120999756e+00     5.9600000000e-09     1.3136897126e-09   2.8209234948e-09
  1.9308000488e+00     4.3000000000e-09     1.2529161042e-10   2.5368216416e-09
  2.0571999512e+00     4.2800000000e-09     4.6901327266e-10   2.3124846482e-09
  2.1916999512e+00     4.6100000000e-09     1.1213678874e-09   2.1168053976e-09
  2.3350000000e+00     5.0600000000e-09     1.8550230241e-09   1.9481478652e-09
  2.4876000977e+00     3.6500000000e-09     7.5367478924e-10   1.7596923918e-09
  2.6496999512e+00     2.3400000000e-09     1.1578300160e+09   0.0000000000e+00
  2.8218000488e+00     2.3900000000e-09     1.1324915200e+09   0.0000000000e+00
  3.0043999023e+00     2.8200000000e-09     6.2512078847e-10   1.3363538054e-09
  3.1980000000e+00     2.2200000000e-09     2.1506157966e-10   1.2186226472e-09
  3.4033000488e+00     2.8900000000e-09     1.0309360032e-09   1.1306534597e-09
  3.6208000488e+00     3.2600000000e-09     1.5370652529e-09   1.0474295875e-09
  3.8511999512e+00     3.2100000000e-09     1.6346022313e-09   9.5766516939e-10
  4.0948999023e+00     2.7100000000e-09     1.2696709240e-09   8.7441881513e-10
  4.3527998047e+00     1.7500000000e-09     4.5092640732e-10   7.9062417724e-10
  4.6252998047e+00     1.8000000000e-09     6.0562033166e-10   7.2632228010e-10
  4.9130000000e+00     1.5700000000e-09     4.7255516167e-10   6.6681404842e-10
  5.2165000000e+00     1.1500000000e-09     1.4223211497e-10   6.0879612462e-10
  5.5362998047e+00     4.5800000000e-10     5.9181480960e+09   0.0000000000e+00
  5.8731000977e+00     4.6200000000e-10     5.8616166400e+09   0.0000000000e+00
  6.2272998047e+00     5.6500000000e-10     4.7942374400e+09   0.0000000000e+00
  6.5996000977e+00     7.8400000000e-10     5.1833124598e-11   4.4439468772e-10
  6.9903999023e+00     4.7400000000e-10     5.7201198080e+09   0.0000000000e+00
  7.4002001953e+00     5.4300000000e-10     4.9900108800e+09   0.0000000000e+00
  7.8293999023e+00     9.2100000000e-10     3.1255797950e-10   3.6902245149e-10
  8.2815996094e+00     6.1400000000e-10     4.3901625391e-11   3.4550273753e-10
  8.7587998047e+00     4.6300000000e-10     5.8513725440e+09   0.0000000000e+00
  9.2622001953e+00     3.6200000000e-10     7.4829184000e+09   0.0000000000e+00
  9.7930996094e+00     3.4200000000e-10     7.9189406720e+09   0.0000000000e+00
  1.0352799805e+01     5.6100000000e-10     4.8317322240e+09   0.0000000000e+00
  1.0942700195e+01     6.5100000000e-10     1.9321812206e-10   2.8374075312e-10
  1.1564200195e+01     6.4100000000e-10     2.1111511150e-10   2.5549884430e-10
  1.2218700195e+01     7.2600000000e-10     2.3065721555e-10   2.9314925487e-10
  1.2907599609e+01     5.1500000000e-10     5.2639334400e+09   0.0000000000e+00
  1.3632500000e+01     2.9700000000e-10     9.1238778880e+09   0.0000000000e+00
  1.4396700195e+01     2.8600000000e-10     9.4724976640e+09   0.0000000000e+00
  1.5205000000e+01     3.0000000000e-10     9.0459351040e+09   0.0000000000e+00
  1.6060099609e+01     2.7600000000e-10     9.8022778880e+09   0.0000000000e+00
  1.6964699219e+01     4.0700000000e-10     6.6664227840e+09   0.0000000000e+00
  1.7921599609e+01     2.5000000000e-10     1.0845472768e+10   0.0000000000e+00
  1.8933900391e+01     3.4000000000e-10     7.9620167680e+09   0.0000000000e+00
  2.0004800781e+01     5.5400000000e-10     2.3817617323e-10   1.8543255820e-10
  2.1137599609e+01     4.1400000000e-10     1.1215205153e-10   1.7443628486e-10
  2.2335800781e+01     2.1000000000e-10     1.2914044928e+10   0.0000000000e+00
  2.3603000000e+01     1.9000000000e-10     1.4256946176e+10   0.0000000000e+00
  2.4942800781e+01     1.4700000000e-10     1.8396966912e+10   0.0000000000e+00
  2.6362699219e+01     1.4100000000e-10     1.9182133248e+10   0.0000000000e+00
  2.7868000000e+01     1.7700000000e-10     1.5344249856e+10   0.0000000000e+00
  2.9464500000e+01     1.2200000000e-10     2.2194612224e+10   0.0000000000e+00
  3.1158400391e+01     7.5300000000e-11     3.6009172992e+10   0.0000000000e+00
  3.2956199219e+01     7.0800000000e-11     3.8294802432e+10   0.0000000000e+00
  3.4865300781e+01     1.2900000000e-10     2.1020653568e+10   0.0000000000e+00
  3.6893300781e+01     2.5100000000e-10     1.0812937216e+10   0.0000000000e+00
  3.9048699219e+01     2.8100000000e-10     8.8970338041e-11   1.0842693410e-10
  4.1340699219e+01     2.4500000000e-10     7.4402129490e-11   1.0363082614e-10
  4.3779199219e+01     3.7000000000e-10     1.8904457166e-10   1.0369378273e-10
  4.6374898438e+01     3.3700000000e-10     1.6087425836e-10   1.0016636132e-10
  4.9139500000e+01     2.5800000000e-10     1.0586151857e-10   9.2417545838e-11
  5.2085800781e+01     1.2700000000e-10     2.1334755328e+10   0.0000000000e+00
  5.5228000000e+01     1.2300000000e-10     2.2117318656e+10   0.0000000000e+00
