# Er drde_Xe drde_Ar drde_Ge
1.000000000000000021e-02 8.509603391757443503e-16 7.926401792884213965e-17 2.611638421604451141e-16
4.139393939393939958e-01 6.684438700252819709e-16 7.222236246582417826e-17 2.263244174211939699e-16
8.178787878787879828e-01 5.168182537910410836e-16 6.560467758371345529e-17 1.948502194651271226e-16
1.221818181818181914e+00 3.942298733721595599e-16 5.942445315469189775e-17 1.667718769729176098e-16
1.625757575757575957e+00 2.975341716281188930e-16 5.368458647580289022e-17 1.419846099365442753e-16
2.029696969696969777e+00 2.223914040974689165e-16 4.837981069853657827e-17 1.202934650061943040e-16
2.433636363636363598e+00 1.647258096187388964e-16 4.349851695138760176e-17 1.015311126439279601e-16
2.837575757575757862e+00 1.209946929831988630e-16 3.902403318665074771e-17 8.537264963077714003e-17
3.241515151515151683e+00 8.817180955256600088e-17 3.494027112881091161e-17 7.151824143511456612e-17
3.645454545454545503e+00 6.376137003779879984e-17 3.123946330919612607e-17 5.970334501928293129e-17
4.049393939393939768e+00 4.575823040934623583e-17 2.788068396537369164e-17 4.967515039759844277e-17
4.453333333333334032e+00 3.258360445062637751e-17 2.484028695274812583e-17 4.119995032511443364e-17
4.857272727272727408e+00 2.301393560935215222e-17 2.209515040554407514e-17 3.406629422907589323e-17
5.261212121212121673e+00 1.611457980938029747e-17 1.962259616586473327e-17 2.808350542411313983e-17
5.665151515151515937e+00 1.117854272070429732e-17 1.740007777599360781e-17 2.308333870517211647e-17
6.069090909090909314e+00 7.676284631204940805e-18 1.540675669698422949e-17 1.891785061073543473e-17
6.473030303030303578e+00 5.214528110877129340e-18 1.362210436827902690e-17 1.545845536654943371e-17
6.876969696969697843e+00 3.503575858872478749e-18 1.202743914452324121e-17 1.259402680686128183e-17
7.280909090909091219e+00 2.331020977864527094e-18 1.060482056081522621e-17 1.022898781756181759e-17
7.684848484848485484e+00 1.542346024265080788e-18 9.337827589743168690e-18 8.281851424660549915e-18
8.088787878787879748e+00 1.025655111445603773e-18 8.211304341255083064e-18 6.683414673332550275e-18
8.492727272727274013e+00 7.003180014591242164e-19 7.211015289509507045e-18 5.374928815524460826e-18
8.896666666666668277e+00 5.085217204517690029e-19 6.324163074227692946e-18 4.307063967797779407e-18
9.300606060606060765e+00 4.063948926036494605e-19 5.539085919711236166e-18 3.438230764090014053e-18
9.704545454545455030e+00 1.465769427835821461e-19 4.844891217959675124e-18 2.733777633475697585e-18
1.010848484848484929e+01 0.000000000000000000e+00 4.231980854418526722e-18 2.164650862235068092e-18
1.051242424242424356e+01 0.000000000000000000e+00 3.691549177831799830e-18 1.706748495004557913e-18
1.091636363636363782e+01 0.000000000000000000e+00 3.215561092624904207e-18 1.340057822694283835e-18
1.132030303030303209e+01 0.000000000000000000e+00 2.796914907594198004e-18 1.047979512943249672e-18
1.172424242424242458e+01 0.000000000000000000e+00 2.429225453169191874e-18 8.168430042060776551e-19
1.212818181818181884e+01 0.000000000000000000e+00 2.106638650036383079e-18 6.353453893839164101e-19
1.253212121212121311e+01 0.000000000000000000e+00 1.824013789505402549e-18 4.942031329240137622e-19
1.293606060606060737e+01 0.000000000000000000e+00 1.576765907607379722e-18 3.858026084019905350e-19
1.334000000000000163e+01 0.000000000000000000e+00 1.360726770958937673e-18 3.038899035179998531e-19
1.374393939393939590e+01 0.000000000000000000e+00 1.172242208719401282e-18 2.433590886739700035e-19
1.414787878787879016e+01 0.000000000000000000e+00 1.008051695108049252e-18 2.000275851298102862e-19
1.455181818181818265e+01 0.000000000000000000e+00 8.652675455552356653e-19 1.705321492408968540e-19
1.495575757575757692e+01 0.000000000000000000e+00 7.412821616784785766e-19 1.515079786833671004e-19
1.535969696969697118e+01 0.000000000000000000e+00 6.338348333874317976e-19 9.905562003230205480e-20
1.576363636363636545e+01 0.000000000000000000e+00 5.409123800181374596e-19 2.914580618516695783e-20
