# gammas	CosmiXs spectra at source
# Log10(x=Ekin/mDM)    dn/dlogx    
-8.95500e+00    0.00000e+00
-8.86500e+00    0.00000e+00
-8.77500e+00    0.00000e+00
-8.68500e+00    0.00000e+00
-8.59500e+00    0.00000e+00
-8.50500e+00    0.00000e+00
-8.41500e+00    0.00000e+00
-8.32500e+00    0.00000e+00
-8.23500e+00    0.00000e+00
-8.14500e+00    0.00000e+00
-8.05500e+00    0.00000e+00
-7.96500e+00    0.00000e+00
-7.87500e+00    0.00000e+00
-7.78500e+00    0.00000e+00
-7.69500e+00    0.00000e+00
-7.60500e+00    0.00000e+00
-7.51500e+00    0.00000e+00
-7.42500e+00    0.00000e+00
-7.33500e+00    0.00000e+00
-7.24500e+00    0.00000e+00
-7.15500e+00    0.00000e+00
-7.06500e+00    0.00000e+00
-6.97500e+00    0.00000e+00
-6.88500e+00    0.00000e+00
-6.79500e+00    1.32529e-06
-6.70500e+00    4.41719e-07
-6.61500e+00    3.53401e-06
-6.52500e+00    3.09229e-06
-6.43500e+00    0.00000e+00
-6.34500e+00    3.53401e-06
-6.25500e+00    5.74286e-06
-6.16500e+00    3.09216e-06
-6.07500e+00    4.85057e-06
-5.98500e+00    8.39330e-06
-5.89500e+00    6.18458e-06
-5.80500e+00    8.83502e-06
-5.71500e+00    9.71846e-06
-5.62500e+00    6.62630e-06
-5.53500e+00    7.05929e-06
-5.44500e+00    7.50088e-06
-5.35500e+00    8.38445e-06
-5.26500e+00    1.23604e-05
-5.17500e+00    1.58943e-05
-5.08500e+00    2.87055e-05
-4.99500e+00    1.32838e-05
-4.90500e+00    1.94683e-05
-4.81500e+00    2.34132e-05
-4.72500e+00    2.99956e-05
-4.63500e+00    1.89517e-05
-4.54500e+00    2.29537e-05
-4.45500e+00    3.30876e-05
-4.36500e+00    3.93662e-05
-4.27500e+00    5.68318e-05
-4.18500e+00    7.10794e-05
-4.09500e+00    1.19429e-04
-4.00500e+00    2.28597e-04
-3.91500e+00    4.88296e-04
-3.82500e+00    1.13929e-03
-3.73500e+00    2.35736e-03
-3.64500e+00    5.22813e-03
-3.55500e+00    1.06797e-02
-3.46500e+00    2.11820e-02
-3.37500e+00    4.03429e-02
-3.28500e+00    7.36052e-02
-3.19500e+00    1.30206e-01
-3.10500e+00    2.24631e-01
-3.01500e+00    3.70526e-01
-2.92500e+00    5.97802e-01
-2.83500e+00    9.57411e-01
-2.74500e+00    1.47476e+00
-2.65500e+00    2.14468e+00
-2.56500e+00    3.02459e+00
-2.47500e+00    4.14810e+00
-2.38500e+00    5.53381e+00
-2.29500e+00    7.17851e+00
-2.20500e+00    9.06690e+00
-2.11500e+00    1.11471e+01
-2.02500e+00    1.33095e+01
-1.93500e+00    1.54440e+01
-1.84500e+00    1.71761e+01
-1.75500e+00    1.85518e+01
-1.66500e+00    1.98011e+01
-1.57500e+00    2.05000e+01
-1.48500e+00    2.05787e+01
-1.39500e+00    1.99921e+01
-1.30500e+00    1.87546e+01
-1.21500e+00    1.69983e+01
-1.12500e+00    1.48820e+01
-1.03500e+00    1.25762e+01
-9.45000e-01    1.02755e+01
-8.55000e-01    8.10296e+00
-7.65000e-01    6.13867e+00
-6.75000e-01    4.42421e+00
-5.85000e-01    3.00817e+00
-4.95000e-01    1.89913e+00
-4.05000e-01    1.09159e+00
-3.15000e-01    5.54253e-01
-2.25000e-01    2.40439e-01
-1.35000e-01    8.13219e-02
-4.50000e-02    2.08648e-02
